"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"65","8","1",0,180,240,0,"1","1","1","0","2","0","0","0","0","0","0","0"
"66","18A","1",0,40,240,0,"0","1","1","1","2","1","1","0","0","0","0","1"
"67","10A","1",1,192,240,0,"0","1","0","0","2","0","0","1","0","0","0","1"
"68","6E","1",0,84,240,0,"0","0","0","0","2","0","0","0","0","0","0","0"
"69","11D","1",0,2,240,0,"0","1","1","0","2","0","1","0","0","0","0","1"
"70","6A","1",5,979,240,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"71","35B","10A",0,228,192,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"72","28A","10A",0,15,192,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"73","37","10A",0,27,192,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"74","18A","10A",0,40,192,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"75","6B","10A",3,1168,192,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"76","23F","10A",3,810,192,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"77","27","10A",0,13,192,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"78","13","10A",0,112,192,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"79","7F","10A",1,176,192,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"80","32F","10A",0,6,192,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"81","18C","10A",0,306,192,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"82","1","10A",1,240,192,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"83","6F","10A",0,2,192,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"84","12F","10A",0,114,192,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"85","25F","10A",0,12,192,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"86","20B","10A",0,2,192,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"87","46","10A",0,8,192,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"88","14","10A",0,808,192,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"89","11B","10A",0,15,192,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"90","2","10A",0,25,192,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"91","9A","10A",1,33,192,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"92","10F","10A",3,41,192,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"93","42","10A",0,10,192,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"94","6E","10A",0,84,192,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"95","31","10A",0,75,192,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"96","9V","10A",1,258,192,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"97","18F","10A",0,21,192,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"98","9N","10A",0,136,192,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"99","17F","10A",0,127,192,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"100","22F","10A",1,194,192,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"101","10A","10A",0,192,192,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"102","3","10A",2,382,192,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"103","9L","10A",0,34,192,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"104","33F","10A",0,110,192,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"105","11A","10A",1,240,192,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"106","12A","10A",0,14,192,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"107","11C","10A",0,9,192,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"108","33C","10A",0,13,192,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"109","32A","10A",0,10,192,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"110","10B","10A",7,27,192,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"111","33D","10A",0,11,192,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"112","35A","10A",0,32,192,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"113","11E","10A",1,1,192,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"114","21","10A",0,116,192,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"115","15B/C","10A",1,320,192,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"116","35F","10A",0,113,192,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"117","33A","10A",0,14,192,0,"0","2","1","0","0","0","0","1","0","0","0","1"
