"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"65","41A","1",0,1,28,0,"1","1","1","0","2","1","0","0","0","0","0","0"
"66","6G","1",1,1,28,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"67","33B","1",0,8,28,0,"0","1","1","0","2","0","0","1","0","0","0","1"
"68","6B","1",10,109,28,0,"0","1","1","0","2","1","0","1","0","0","0","0"
"69","35B","1",3,23,28,0,"0","1","1","0","2","0","0","1","0","0","0","1"
"70","35F","1",2,20,28,0,"0","1","0","0","2","0","0","1","0","0","0","0"
"71","8","1",3,22,28,0,"1","1","1","0","2","0","0","0","0","0","0","0"
"72","18A","1",1,11,28,0,"0","1","1","1","2","1","1","0","0","0","0","1"
"73","9N","1",3,15,28,0,"1","0","1","1","2","0","0","0","0","0","1","1"
"74","15F","1",4,13,28,0,"0","1","1","1","2","0","0","0","1","0","0","1"
"75","19A","1",12,103,28,0,"0","0","1","0","2","1","0","0","0","0","1","1"
"76","18B","10A",2,7,31,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"77","35A","10A",0,11,31,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"78","31","10A",2,8,31,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"79","9V","10A",6,26,31,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"80","19C","10A",1,5,31,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"81","29","10A",3,17,31,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"82","11C","10A",2,5,31,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"83","10A","10A",0,31,31,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"84","9A","10A",2,6,31,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"85","23F","10A",7,68,31,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"86","28F","10A",0,6,31,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"87","33C","10A",1,2,31,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"88","11F","10A",1,2,31,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"89","5","10A",0,11,31,0,"1","1","1","0","0","0","0","1","0","1","0","2"
"90","19A","10A",9,103,31,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"91","28A","10A",0,3,31,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"92","24F","10A",3,11,31,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"93","10C","10A",2,2,31,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"94","18C","10A",2,26,31,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"95","33A","10A",0,3,31,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"96","1","10A",4,28,31,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"97","17F","10A",3,16,31,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"98","20A","10A",0,1,31,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"99","10F","10A",2,9,31,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"100","6G","10A",1,1,31,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"101","15F","10A",3,13,31,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"102","25F","10A",0,2,31,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"103","2","10A",1,2,31,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"104","33B","10A",0,8,31,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"105","41A","10A",0,1,31,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"106","15B/C","10A",5,38,31,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"107","11E","10A",1,1,31,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"108","22F","10A",5,19,31,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"109","6E","10A",2,15,31,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"110","6B","10A",9,109,31,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"111","11D","10A",1,1,31,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"112","33D","10A",0,4,31,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"113","15A","10A",4,35,31,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"114","9N","10A",1,15,31,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"115","35B","10A",2,23,31,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"116","35F","10A",2,20,31,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"117","12A","10A",1,7,31,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"118","3","10A",7,45,31,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"119","11B","10A",0,5,31,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"120","37","10A",1,8,31,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"121","18F","10A",2,7,31,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"122","8","10A",2,22,31,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"123","18A","10A",1,11,31,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"124","10B","10A",7,12,31,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"125","47A","10A",0,1,31,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"126","6F","10A",2,2,31,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"127","7F","10A",5,20,31,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"128","46","10A",0,2,31,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"129","19B","10A",1,9,31,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"130","14","10A",4,49,31,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"131","34","10A",3,29,31,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"132","7A","10A",0,5,31,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"133","16F","10A",1,27,31,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"134","13","10A",4,25,31,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"135","42","10A",2,7,31,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"136","9L","10A",2,11,31,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"137","20B","10A",0,2,31,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"138","39","10A",1,5,31,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"139","24A","10A",1,3,31,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"140","21","10A",3,18,31,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"141","27","10A",0,4,31,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"142","19F","10A",7,95,31,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"143","11A","10A",4,32,31,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"144","45","10A",0,4,31,0,"0","2","0","1","0","1","1","1","0","1","0","2"
"145","33F","10A",0,14,31,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"146","32F","10A",0,2,31,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"147","35C","10A",1,16,31,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"148","4","10A",3,45,31,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"149","12F","10A",4,20,31,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"150","6A","10A",9,108,31,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"151","47A","10B",0,1,12,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"152","11E","10B",0,1,12,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"153","11C","10B",0,5,12,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"154","20A","10B",0,1,12,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"155","18A","10B",0,11,12,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"156","25F","10B",0,2,12,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"157","19B","10B",0,9,12,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"158","9V","10B",2,26,12,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"159","33B","10B",1,8,12,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"160","11A","10B",1,32,12,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"161","8","10B",0,22,12,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"162","3","10B",3,45,12,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"163","34","10B",1,29,12,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"164","19F","10B",3,95,12,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"165","33D","10B",0,4,12,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"166","9N","10B",0,15,12,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"167","28F","10B",0,6,12,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"168","35B","10B",1,23,12,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"169","7A","10B",1,5,12,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"170","11F","10B",0,2,12,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"171","4","10B",1,45,12,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"172","12F","10B",0,20,12,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"173","14","10B",1,49,12,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"174","19C","10B",0,5,12,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"175","19A","10B",3,103,12,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"176","2","10B",0,2,12,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"177","13","10B",2,25,12,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"178","32F","10B",0,2,12,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"179","35A","10B",0,11,12,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"180","9A","10B",0,6,12,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"181","10B","10B",0,12,12,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"182","24F","10B",1,11,12,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"183","11B","10B",0,5,12,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"184","23F","10B",3,68,12,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"185","39","10B",1,5,12,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"186","10A","10B",7,31,12,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"187","1","10B",1,28,12,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"188","6G","10B",0,1,12,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"189","15B/C","10B",1,38,12,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"190","11D","10B",0,1,12,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"191","12A","10B",1,7,12,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"192","37","10B",1,8,12,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"193","20B","10B",0,2,12,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"194","7F","10B",2,20,12,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"195","6B","10B",3,109,12,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"196","42","10B",1,7,12,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"197","6A","10B",4,108,12,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"198","27","10B",0,4,12,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"199","33F","10B",0,14,12,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"200","10C","10B",1,2,12,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"201","15A","10B",3,35,12,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"202","5","10B",0,11,12,0,"1","1","1","0","0","0","0","1","0","1","0","2"
"203","18F","10B",1,7,12,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"204","28A","10B",0,3,12,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"205","18B","10B",1,7,12,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"206","9L","10B",0,11,12,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"207","46","10B",0,2,12,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"208","21","10B",1,18,12,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"209","29","10B",2,17,12,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"210","45","10B",0,4,12,0,"0","2","0","1","0","1","1","1","0","1","0","2"
"211","6F","10B",0,2,12,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"212","35F","10B",1,20,12,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"213","17F","10B",1,16,12,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"214","18C","10B",1,26,12,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"215","35C","10B",2,16,12,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"216","15F","10B",1,13,12,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"217","10F","10B",2,9,12,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"218","22F","10B",2,19,12,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"219","33A","10B",0,3,12,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"220","6E","10B",1,15,12,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"221","31","10B",0,8,12,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"222","33C","10B",0,2,12,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"223","24A","10B",0,3,12,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"224","41A","10B",0,1,12,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"225","16F","10B",0,27,12,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"226","9L","10C",1,11,2,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"227","33B","10C",0,8,2,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"228","18B","10C",1,7,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"229","1","10C",1,28,2,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"230","39","10C",1,5,2,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"231","33C","10C",0,2,2,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"232","10B","10C",1,12,2,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"233","16F","10C",0,27,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"234","20A","10C",0,1,2,0,"0","2","1","1","0","0","0","1","0","0","0","2"
