"","phylo.grp","In_Silico_Serotype"
"1","1_8","19F"
"2","1_8","19A"
"3","1_8","19A"
"4","1_8","19A"
"5","1_8","19A"
"6","1_8","19A"
"7","1_8","19A"
"8","1_8","19A"
"9","1_8","19A"
"10","1_8","19A"
"11","1_8","19A"
"12","1_8","19F"
"13","1_8","19F"
"14","1_8","19A"
"15","1_8","19A"
"16","1_8","19A"
"17","1_8","19A"
"18","1_8","19A"
"19","1_8","19F"
"20","1_8","19F"
"21","1_8","19A"
"22","1_8","19F"
"23","1_8","19A"
"24","1_8","19A"
"25","1_8","19A"
"26","1_8","19A"
"27","1_8","19F"
"28","1_8","19F"
"29","1_8","19F"
"30","1_8","19F"
"31","1_8","19A"
"32","1_8","19F"
"33","1_8","19A"
"34","1_8","19A"
"35","1_8","19A"
"36","1_8","19A"
"37","1_8","19F"
"38","1_8","19A"
"39","1_8","19A"
"40","1_8","19A"
"41","1_8","19A"
"42","1_8","19A"
"43","1_8","19A"
"44","1_8","19F"
"45","1_8","19F"
"46","1_8","19F"
"47","1_8","19F"
"48","1_13","19F"
"49","1_8","19A"
"50","1_23","19F"
"51","1_8","19A"
"52","1_23","19F"
"53","1_8","19F"
"54","1_23","19F"
"55","1_8","19F"
"56","1_23","19F"
"57","1_8","19F"
"58","1_8","19A"
"59","1_8","19F"
"60","1_8","19F"
"61","1_8","19F"
"62","1_8","19F"
"63","1_8","19F"
"64","1_8","19F"
"65","1_8","19F"
"66","1_8","19F"
"67","1_8","19F"
"68","1_8","19F"
"69","1_8","19F"
"70","1_8","19F"
"71","1_8","19F"
"72","1_8","19F"
"73","1_8","19A"
"74","1_8","19A"
"75","1_8","19A"
"76","1_8","19A"
"77","1_8","19A"
"78","1_8","19A"
"79","1_8","19A"
"80","1_8","19A"
"81","1_8","19A"
"82","1_8","19A"
"83","1_8","19A"
"84","1_8","19A"
"85","1_8","19A"
"86","1_8","19A"
"87","1_8","19A"
"88","1_8","19A"
"89","1_8","19A"
"90","1_8","19F"
"91","1_8","19A"
"92","1_8","19F"
"93","1_8","19A"
"94","1_8","19F"
"95","1_8","19F"
"96","1_23","19F"
"97","1_8","19F"
"98","1_8","19F"
"99","1_23","19F"
"100","1_23","19F"
"101","1_8","19F"
"102","1_8","19A"
"103","1_8","19A"
"104","1_8","19A"
"105","1_8","19A"
"106","1_8","19A"
"107","1_8","19A"
"108","1_8","19A"
"109","1_8","19A"
"110","1_8","19A"
"111","1_8","19A"
"112","1_8","19F"
"113","1_23","19F"
"114","1_8","19F"
"115","1_23","19F"
"116","1_8","19F"
"117","1_8","19F"
"118","1_23","19F"
"119","1_8","19F"
"120","1_8","19F"
"121","1_8","19F"
"122","1_8","19F"
"123","1_23","19F"
"124","1_8","19F"
"125","1_8","19F"
"126","1_8","19F"
"127","1_8","19F"
"128","1_8","19F"
"129","1_8","19A"
"130","1_8","19F"
"131","1_8","19F"
"132","1_8","19A"
"133","1_8","19A"
"134","1_8","19A"
"135","1_8","19A"
"136","1_8","19F"
"137","1_8","19F"
"138","1_8","19F"
"139","1_8","19A"
"140","1_8","19A"
"141","1_8","19A"
"142","1_8","19A"
"143","1_8","19A"
"144","1_8","19A"
"145","1_8","19A"
"146","1_8","19A"
"147","1_8","19A"
"148","1_8","19A"
"149","1_8","19A"
"150","1_8","19A"
"151","1_8","19F"
