"","X","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"47",47,"10B - 10F",0,1,0,0,1
"48",48,"10B - 15A",0,1,0,0,1
"49",49,"10B - 15B/C",0,1,0,0,1
"51",51,"10B - 22F",0,1,0,0,1
"56",56,"10B - 7F",0,1,0,0,1
"57",57,"10C - 19F",0,1,0,0,1
"58",58,"10C - 3",0,1,0,0,1
"60",60,"10F - 7F",0,1,0,0,1
"61",61,"11A - 11B",0,1,0,0,1
"74",74,"11A - 23A",1,0,0,0,1
"77",77,"11A - 25A",0,1,0,0,1
"79",79,"11A - 31",1,0,0,0,1
"80",80,"11A - 33B",0,1,0,0,1
"81",81,"11A - 33F",0,1,0,0,1
"84",84,"11A - 35F",0,1,0,0,1
"85",85,"11A - 38",0,1,0,0,1
