"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"134","35C","10F",0,4,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"135","6C","10F",0,28,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"136","23F","10F",0,39,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"137","19A","10F",0,59,2,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"138","18A","10F",0,7,2,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"139","4","10F",0,14,2,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"140","35B","10F",1,18,2,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"141","33F","10F",0,3,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"142","15F","10F",0,2,2,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"143","12A","10F",0,2,2,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"144","28F","10F",0,9,2,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"145","46","10F",0,2,2,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"146","12F","10F",0,7,2,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"147","6B","10F",1,60,2,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"148","20A","10F",0,9,2,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"149","33A","10F",0,1,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"150","6D","10F",0,2,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"151","18C","10F",0,13,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"152","15A","10F",0,21,2,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"153","9L","10F",0,10,2,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"154","15B/C","10F",0,32,2,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"155","11A","10F",0,20,2,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"156","18B","10F",0,4,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"157","3","10F",0,18,2,0,"1","1","1","0","0","0","0","1","0","0","0","1"
