"","phylo.grp","In_Silico_Serotype"
"541","2_7","1"
"542","2_7","1"
"543","2_7","1"
"544","2_7","1"
"545","2_7","1"
"546","2_7","1"
"547","2_6","1"
"548","2_6","1"
"549","2_6","1"
"550","2_6","1"
"551","2_6","1"
"552","2_6","1"
"553","2_6","1"
"554","2_6","1"
"555","2_6","1"
"556","2_6","1"
"557","2_6","1"
"558","2_6","1"
"559","2_6","1"
"560","2_6","1"
"561","2_6","1"
"562","2_6","1"
"563","2_6","1"
"564","2_6","1"
"565","2_6","1"
"566","2_6","1"
"567","2_6","1"
"568","2_6","1"
"569","2_6","1"
"570","2_6","1"
"571","2_6","1"
"572","2_6","1"
"573","2_6","1"
"574","2_6","1"
"575","2_6","1"
"576","2_6","1"
"577","2_6","1"
"578","2_6","1"
"579","2_7","1"
"580","2_7","1"
"581","2_6","1"
"582","2_6","1"
"583","2_6","1"
"584","2_6","1"
"585","2_6","1"
"586","2_6","1"
"587","2_6","1"
"588","2_6","1"
"589","2_6","1"
"590","2_6","1"
"591","2_6","1"
"592","2_6","1"
"593","2_6","1"
"594","2_6","1"
"595","2_6","1"
"596","2_6","1"
"597","2_6","1"
"598","2_6","1"
"599","2_6","1"
"600","2_6","1"
"601","2_6","1"
"602","2_6","1"
"603","2_6","1"
"604","2_6","1"
"605","2_6","1"
"606","2_1","1"
"607","2_1","1"
"608","2_6","1"
"609","2_6","1"
"610","2_6","1"
"611","2_6","1"
"612","2_6","1"
"613","2_6","1"
"614","2_7","1"
"615","2_6","1"
"616","2_6","1"
"617","2_1","1"
"618","2_6","1"
"619","2_6","1"
"620","2_6","1"
"621","2_6","1"
"622","2_6","1"
"623","2_6","1"
"624","2_6","1"
"625","2_6","1"
"626","2_6","1"
"627","2_6","1"
"628","2_7","1"
"629","2_6","1"
"630","2_6","1"
"631","2_6","1"
"632","2_6","1"
"633","2_6","1"
"634","2_6","1"
"635","2_6","1"
"636","2_6","1"
"637","2_6","1"
"638","2_6","1"
"639","2_6","1"
"640","2_6","1"
"641","2_7","1"
"642","2_6","1"
"643","2_6","1"
"644","2_6","1"
"645","2_6","1"
"646","2_6","1"
"647","2_6","1"
"648","2_6","1"
"649","2_6","1"
"650","2_6","1"
"651","2_6","1"
"652","2_6","1"
"653","2_6","1"
"654","2_6","1"
"655","2_6","1"
"656","2_6","1"
"657","2_6","1"
"658","2_6","1"
"659","2_6","1"
"660","2_6","1"
"661","2_6","1"
"662","2_6","1"
"663","2_6","1"
"664","2_6","1"
"665","2_6","1"
"666","2_6","1"
"667","2_6","1"
"668","2_6","1"
"669","2_6","1"
"670","2_6","1"
"671","2_6","1"
"672","2_6","1"
"673","2_6","1"
"674","2_6","1"
"675","2_6","1"
"676","2_6","1"
"677","2_6","1"
"678","2_7","1"
"679","2_6","1"
"680","2_6","1"
"681","2_6","1"
"682","2_6","1"
"683","2_6","1"
"684","2_6","1"
"685","2_6","1"
"686","2_6","1"
"687","2_7","1"
"688","2_7","1"
"689","2_7","1"
"690","2_7","1"
"691","2_7","1"
"692","2_7","1"
"693","2_7","1"
"694","2_7","1"
"695","2_7","1"
"696","2_7","1"
"697","2_7","1"
"698","2_7","1"
"699","2_7","1"
"700","2_7","1"
"701","2_7","1"
"702","2_7","1"
"703","2_7","1"
"704","2_7","1"
"705","2_7","1"
"706","2_7","1"
"707","2_7","1"
"708","2_7","1"
"709","2_7","1"
"710","2_7","1"
"711","2_7","1"
"712","2_7","1"
"713","2_7","1"
"714","2_7","1"
"715","2_7","1"
"716","2_7","1"
"717","2_7","1"
"718","2_7","1"
"719","2_7","1"
"720","2_7","1"
"721","2_7","1"
"722","2_7","1"
"723","2_7","1"
"724","2_7","1"
"725","2_6","1"
"726","2_7","1"
"727","2_7","1"
"728","2_7","1"
"729","2_7","1"
"730","2_7","1"
"731","2_6","1"
"732","2_6","1"
"733","2_6","1"
"734","2_6","1"
"735","2_7","1"
"736","2_7","1"
"737","2_7","1"
"738","2_6","1"
"739","2_6","1"
"740","2_7","1"
"741","2_7","1"
"742","2_6","1"
"743","2_7","1"
"744","2_7","1"
"745","2_6","1"
"746","2_6","1"
"747","2_6","1"
"748","2_6","1"
"749","2_6","1"
"750","2_6","1"
"751","2_6","1"
"752","2_6","1"
"753","2_6","1"
"754","2_6","1"
"755","2_6","1"
"756","2_6","1"
"757","2_6","1"
"758","2_7","1"
"759","2_6","1"
"760","2_6","1"
"761","2_6","1"
"762","2_6","1"
"763","2_6","1"
"764","2_7","1"
"765","2_6","1"
"766","2_6","1"
"767","2_6","1"
"768","2_6","1"
"769","2_6","1"
"770","2_6","1"
"771","2_6","1"
"772","2_6","1"
"773","2_6","1"
"774","2_7","1"
"775","2_6","1"
"776","2_6","1"
"777","2_6","1"
"778","2_6","1"
"779","2_6","1"
"780","2_6","1"
"781","2_7","1"
"782","2_7","1"
"783","2_7","1"
"784","2_7","1"
"785","2_7","1"
"786","2_7","1"
"787","2_7","1"
"788","2_7","1"
"789","2_7","1"
"790","2_7","1"
"791","2_6","1"
"792","2_6","1"
"793","2_6","1"
"794","2_6","1"
"795","2_6","1"
"796","2_6","1"
"797","2_6","1"
"798","2_6","1"
"799","2_6","1"
"800","2_6","1"
"801","2_6","1"
"802","2_6","1"
"803","2_7","1"
"804","2_6","1"
"805","2_6","1"
"806","2_6","1"
"807","2_6","1"
"808","2_6","1"
"809","2_6","1"
"810","2_6","1"
"811","2_6","1"
"812","2_6","1"
"813","2_6","1"
"814","2_6","1"
"815","2_6","1"
"816","2_6","1"
"817","2_6","1"
"818","2_6","1"
"819","2_6","1"
"820","2_6","1"
"821","2_6","1"
"822","2_6","1"
"823","2_6","1"
"824","2_6","1"
"825","2_6","1"
"826","2_6","1"
"827","2_6","1"
"828","2_6","1"
"829","2_6","1"
"830","2_6","1"
"831","2_6","1"
"832","2_6","1"
"833","2_7","1"
"834","2_6","1"
"835","2_6","1"
"836","2_6","1"
"837","2_6","1"
"838","2_6","1"
"839","2_6","1"
"840","2_6","1"
"841","2_6","1"
"842","2_6","1"
"843","2_6","1"
"844","2_6","1"
"845","2_6","1"
"846","2_6","1"
"847","2_6","1"
"848","2_6","1"
"849","2_6","1"
"850","2_6","1"
"851","2_7","1"
"852","2_6","1"
"853","2_6","1"
"854","2_6","1"
"855","2_6","1"
"856","2_6","1"
"857","2_6","1"
"858","2_6","1"
"859","2_6","1"
"860","2_6","1"
"861","2_6","1"
"862","2_6","1"
"863","2_6","1"
"864","2_6","1"
"865","2_6","1"
"866","2_6","1"
"867","2_6","1"
"868","2_6","1"
"869","2_7","1"
"870","2_6","1"
"871","2_6","1"
"872","2_6","1"
"873","2_7","1"
"874","2_6","1"
"875","2_7","1"
"876","2_6","1"
"877","2_6","1"
"878","2_6","1"
"879","2_6","1"
"880","2_6","1"
"881","2_6","1"
"882","2_6","1"
"883","2_6","1"
"884","2_6","1"
"885","2_6","1"
"886","2_6","1"
"887","2_6","1"
"888","2_6","1"
"889","2_6","1"
"890","2_6","1"
"891","2_7","1"
"892","2_6","1"
"893","2_6","1"
"894","2_6","1"
"895","2_7","1"
"896","2_6","1"
"897","2_7","1"
"898","2_6","1"
"899","2_6","1"
"900","2_6","1"
"901","2_6","1"
"902","2_6","1"
"903","2_6","1"
"904","2_6","1"
"905","2_7","1"
"906","2_7","1"
"907","2_7","1"
"908","2_7","1"
"909","2_7","1"
"910","2_7","1"
"911","2_7","1"
"912","2_7","1"
"913","2_7","1"
"914","2_7","1"
"915","2_7","1"
"916","2_7","1"
"917","2_7","1"
"918","2_7","1"
"919","2_6","1"
"920","2_7","1"
"921","2_7","1"
"922","2_7","1"
"923","2_7","1"
"924","2_7","1"
"925","2_7","1"
"926","2_7","1"
"927","2_7","1"
"928","2_7","1"
"929","2_7","1"
"930","2_7","1"
"931","2_7","1"
"932","2_7","1"
"933","2_7","1"
"934","2_7","1"
"935","2_7","1"
"936","2_7","1"
"937","2_7","1"
"938","2_7","1"
"939","2_7","1"
"940","2_7","1"
"941","2_7","1"
"942","2_7","1"
"943","2_7","1"
"944","2_7","1"
"945","2_7","1"
"946","2_7","1"
"947","2_7","1"
"948","2_7","1"
"949","2_7","1"
"950","2_7","1"
"951","2_6","1"
"952","2_6","1"
"953","2_7","1"
"954","2_6","1"
"955","2_7","1"
"956","2_7","1"
"957","2_7","1"
"958","2_7","1"
"959","2_6","1"
"960","2_7","1"
"961","2_7","1"
"962","2_7","1"
"963","2_7","1"
"964","2_7","1"
"965","2_7","1"
"966","2_7","1"
"967","2_7","1"
"968","2_7","1"
"969","2_7","1"
"970","2_7","1"
"971","2_7","1"
"972","2_7","1"
"973","2_7","1"
"974","2_7","1"
"975","2_7","1"
"976","2_7","1"
"977","2_7","1"
"978","2_7","1"
"979","2_7","1"
"980","2_7","1"
"981","2_7","1"
"982","2_7","1"
"983","2_7","1"
"984","2_7","1"
"985","2_7","1"
"986","2_7","1"
"987","2_7","1"
"988","2_7","1"
"989","2_7","1"
"990","2_7","1"
"991","2_7","1"
"992","2_7","1"
"993","2_7","1"
"994","2_6","1"
"995","2_6","1"
"996","2_6","1"
"997","2_7","1"
"998","2_6","1"
"999","2_6","1"
"1000","2_6","1"
"1001","2_7","1"
"1002","2_7","1"
"1003","2_7","1"
"1004","2_6","1"
"1005","2_6","1"
"1006","2_6","1"
"1007","2_6","1"
"1008","2_7","1"
"1009","2_6","1"
"1010","2_6","1"
"1011","2_7","1"
"1012","2_6","1"
"1013","2_7","1"
"1014","2_6","1"
"1015","2_6","1"
"1016","2_6","1"
"1017","2_6","1"
"1018","2_6","1"
"1019","2_7","1"
"1020","2_7","1"
"1021","2_7","1"
"1022","2_7","1"
"1023","2_7","1"
"1024","2_7","1"
"1025","2_7","1"
"1026","2_7","1"
"1027","2_7","1"
"1028","2_7","1"
"1029","2_7","1"
"1030","2_7","1"
"1031","2_7","1"
"1032","2_7","1"
"1033","2_7","1"
"1034","2_7","1"
"1035","2_7","1"
"1036","2_7","1"
"1037","2_7","1"
"1038","2_7","1"
"1039","2_7","1"
"1040","2_7","1"
"1041","2_7","1"
"1042","2_7","1"
"1043","2_7","1"
"1044","2_7","1"
"1045","2_7","1"
"1046","2_7","1"
"1047","2_7","1"
"1048","2_7","1"
"1049","2_7","1"
"1050","2_7","1"
"1051","2_7","1"
"1052","2_7","1"
"1053","2_7","1"
"1054","2_7","1"
"1055","2_7","1"
"1056","2_7","1"
"1057","2_7","1"
"1058","2_7","1"
"1059","2_7","1"
"1060","2_7","1"
"1061","2_7","1"
"1062","2_7","1"
"1063","2_7","1"
"1064","2_7","1"
"1065","2_7","1"
"1066","2_7","1"
"1067","2_7","1"
"1068","2_7","1"
"1069","2_7","1"
"1070","2_7","1"
"1071","2_7","1"
"1072","2_7","1"
"1073","2_7","1"
"1074","2_7","1"
"1075","2_7","1"
"1076","2_7","1"
"1077","2_7","1"
"1078","2_7","1"
"1079","2_7","1"
"1080","2_7","1"
"1081","2_7","1"
"1082","2_7","1"
"1083","2_7","1"
"1084","2_7","1"
"1085","2_7","1"
"1086","2_7","1"
"1087","2_7","1"
"1088","2_7","1"
"1089","2_7","1"
"1090","2_5","1"
"1091","2_5","1"
"1092","2_6","1"
"1093","2_6","1"
"1094","2_6","1"
"1095","2_6","1"
"1096","2_7","1"
"1097","2_7","1"
"1098","2_6","1"
"1099","2_7","1"
"1100","2_7","1"
"1101","2_7","1"
"1102","2_7","1"
"1103","2_7","1"
"1104","2_7","1"
"1105","2_7","1"
"1106","2_7","1"
"1107","2_7","1"
"1108","2_7","1"
"1109","2_7","1"
"1110","2_7","1"
"1111","2_6","1"
"1112","2_7","1"
"1113","2_6","1"
"1114","2_7","1"
"1115","2_7","1"
"1116","2_7","1"
"1117","2_7","1"
"1118","2_7","1"
"1119","2_7","1"
"1120","2_6","1"
"1121","2_7","1"
"1122","2_7","1"
"1123","2_7","1"
"1124","2_6","1"
"1125","2_6","1"
"1126","2_7","1"
"1127","2_7","1"
"1128","2_7","1"
"1129","2_6","1"
"1130","2_6","1"
"1131","2_6","1"
"1132","2_7","1"
"1133","2_7","1"
"1134","2_7","1"
"1135","2_6","1"
"1136","2_7","1"
"1137","2_7","1"
"1138","2_7","1"
"1139","2_7","1"
"1140","2_7","1"
"1141","2_7","1"
"1142","2_2","1"
"1143","2_7","1"
"1144","2_2","1"
"1145","2_7","1"
"1146","2_7","1"
"1147","2_7","1"
"1148","2_7","1"
"1149","2_7","1"
"1150","2_7","1"
"1151","2_7","1"
"1152","2_7","1"
"1153","2_7","1"
"1154","2_6","1"
"1155","2_7","1"
"1156","2_7","1"
"1157","2_7","1"
"1158","2_7","1"
"1159","2_7","1"
"1160","2_7","1"
"1161","2_7","1"
"1162","2_7","1"
"1163","2_7","1"
"1164","2_7","1"
"1165","2_7","1"
"1166","2_7","1"
"1167","2_7","1"
"1168","2_4","1"
"1169","2_3","1"
"1170","2_5","1"
"1171","2_7","1"
"1172","2_7","1"
"1173","2_7","1"
"1174","2_7","1"
"1175","2_7","1"
"1176","2_7","1"
"1177","2_7","1"
"1178","2_7","1"
"1179","2_7","1"
"1180","2_7","1"
"1181","2_7","1"
"1182","2_7","1"
"1183","2_7","1"
"1184","2_7","1"
"1185","2_7","1"
"1186","2_7","1"
"1187","2_7","1"
"1188","2_7","1"
"1189","2_7","1"
"1190","2_7","1"
"1191","2_7","1"
"1192","2_7","1"
"1193","2_7","1"
"1194","2_7","1"
"1195","2_7","1"
"1196","2_7","1"
"1197","2_7","1"
"1198","2_7","1"
"1199","2_7","1"
"1200","2_7","1"
"1201","2_7","1"
"1202","2_7","1"
"1203","2_7","1"
"1204","2_7","1"
"1205","2_7","1"
"1206","2_7","1"
"1207","2_7","1"
"1208","2_7","1"
"1209","2_7","1"
"1210","2_7","1"
"1211","2_7","1"
"1212","2_7","1"
"1213","2_7","1"
"1214","2_7","1"
"1215","2_7","1"
"1216","2_7","1"
"1217","2_7","1"
"1218","2_7","1"
"1219","2_7","1"
"1220","2_7","1"
"1221","2_7","1"
"1222","2_7","1"
"1223","2_7","1"
"1224","2_7","1"
"1225","2_7","1"
"1226","2_7","1"
"1227","2_7","1"
"1228","2_7","1"
"1229","2_7","1"
"1230","2_7","1"
"1231","2_7","1"
"1232","2_7","1"
"1233","2_7","1"
"1234","2_7","1"
"1235","2_7","1"
"1236","2_7","1"
"1237","2_7","1"
"1238","2_7","1"
"1239","2_7","1"
"1240","2_7","1"
"1241","2_7","1"
"1242","2_7","1"
"1243","2_7","1"
"1244","2_7","1"
"1245","2_7","1"
"1246","2_7","1"
"1247","2_7","1"
"1248","2_7","1"
"1249","2_7","1"
"1250","2_7","1"
"1251","2_7","1"
"1252","2_7","1"
"1253","2_7","1"
"1254","2_7","1"
"1255","2_7","1"
"1256","2_7","1"
"1257","2_7","1"
"1258","2_7","1"
"1259","2_7","1"
"1260","2_7","1"
"1261","2_7","1"
"1262","2_7","1"
"1263","2_7","1"
"1264","2_7","1"
"1265","2_7","1"
"1266","2_7","1"
"1267","2_7","1"
"1268","2_7","1"
"1269","2_7","1"
"1270","2_7","1"
"1271","2_7","1"
"1272","2_7","1"
"1273","2_7","1"
"1274","2_7","1"
"1275","2_7","1"
"1276","2_7","1"
"1277","2_7","1"
"1278","2_7","1"
"1279","2_7","1"
"1280","2_7","1"
"1281","2_7","1"
"1282","2_7","1"
"1283","2_7","1"
"1284","2_7","1"
"1285","2_7","1"
"1286","2_7","1"
"1287","3_84","18C"
"1288","3_84","33F"
"1289","3_84","33F"
"1290","3_84","33F"
"1291","3_84","33F"
"1292","3_85","11A"
"1293","3_84","33F"
"1294","3_67","33F"
"1295","3_84","18C"
"1296","3_85","11A"
"1297","3_84","33F"
"1298","3_85","11A"
"1299","3_51","23F"
"1300","3_53","33F"
"1301","3_85","11A"
"1302","3_52","33F"
"1303","3_85","11A"
"1304","3_84","33F"
"1305","3_85","11A"
"1306","3_84","33F"
"1307","3_84","33F"
"1308","3_84","33F"
"1309","3_85","11A"
"1310","3_102","8"
"1311","3_101","8"
"1312","3_102","8"
