"","Serotype1","Serotype2","Freq","975tile"
"1419","15B/C","18C",5,10
"1421","15B/C","19A",15,32
"1424","15B/C","19F",17,31
"1428","15B/C","21",4,9
"1429","15B/C","22A",3,6
"1430","15B/C","22F",6,10
"1431","15B/C","23A",9,11
"1432","15B/C","23B",6,9
"1433","15B/C","23F",12,24
"1442","15B/C","29",3,8
"1443","15B/C","3",8,17
"1451","15B/C","34",5,12
"1453","15B/C","35B",4,10
"1455","15B/C","35F",3,9
"1460","15B/C","4",7,16.025
"1472","15B/C","6A",11,34.025
"1473","15B/C","6B",15,36
"1474","15B/C","6C/D",10,22
"1475","15B/C","6E",4,8
"1479","15B/C","7B/C",5,8
"1480","15B/C","7F",4,9
"1483","15B/C","9L",3,6
"1484","15B/C","9N",3,7
"1485","15B/C","9V",10,11
"1490","15F","18A",3,3
"1494","15F","19A",7,15
"1497","15F","19F",7,13
"1503","15F","22F",3,4
"1504","15F","23A",5,5
"1505","15F","23B",3,4
"1506","15F","23F",6,11
"1516","15F","3",7,7
"1545","15F","6A",5,15
"1546","15F","6B",4,17
"1547","15F","6C/D",5,9
"1554","15F","8",3,4
"1558","15F","9V",4,5
"1637","16F","19A",6,24.025
"1640","16F","19F",7,24
"1646","16F","22F",3,7
"1688","16F","6A",4,26
"1689","16F","6B",3,27
"1690","16F","6C/D",4,17
"1701","16F","9V",3,9
"1773","17F","18B",3,2
"1774","17F","18C",3,6
"1776","17F","19A",4,18
"1779","17F","19F",5,16
"1783","17F","21",3,4.02499999999998
"1784","17F","22A",4,3
"1785","17F","22F",7,4
"1786","17F","23A",4,6
"1788","17F","23F",7,12
"1791","17F","24F",4,3
"1798","17F","3",6,8
"1799","17F","31",3,3
"1807","17F","35A",3,3
"1808","17F","35B",3,5.02499999999998
"1815","17F","4",3,9
"1827","17F","6A",4,17.025
"1828","17F","6B",5,18.025
"1829","17F","6C/D",3,11
"1840","17F","9V",3,6
"1841","18A","18B",4,2
"1842","18A","18C",5,4.02499999999998
"1843","18A","18F",3,2
"1844","18A","19A",3,13
"1847","18A","19F",3,12
"1853","18A","22F",3,4
"1854","18A","23A",4,4
"1856","18A","23F",4,9
"1875","18A","35A",3,3
"1896","18A","6B",5,14
"1897","18A","6C/D",3,8
"1908","18A","9V",3,5
"1909","18B","18C",6,3
"1910","18B","18F",5,1.02499999999998
"1911","18B","19A",4,10
"1918","18B","21",4,3
"1919","18B","22A",3,2
"1920","18B","22F",4,3
"1921","18B","23A",3,3
"1923","18B","23F",3,7
"1933","18B","3",3,5
"1963","18B","6B",5,10
"1970","18B","7F",3,3
"1971","18B","8",3,3
"1976","18C","18F",5,3
"1977","18C","19A",11,25
"1980","18C","19F",8,22
"1984","18C","21",6,6.02499999999998
"1985","18C","22A",6,4
"1986","18C","22F",6,7
"1987","18C","23A",5,8
"1988","18C","23B",4,6
"1989","18C","23F",10,17.025
"1999","18C","3",7,12.025
"2000","18C","31",3,3
"2007","18C","34",4,9
"2008","18C","35A",6,4
"2010","18C","35C",4,6
"2011","18C","35F",3,7
"2014","18C","38",3,5
"2016","18C","4",6,13
"2028","18C","6A",7,25
"2029","18C","6B",8,25
"2030","18C","6C/D",6,15.025
"2031","18C","6E",3,6
"2036","18C","7F",5,7
"2037","18C","8",5,7
"2041","18C","9V",5,8
"2042","18F","19A",3,10
"2049","18F","21",4,3
"2050","18F","22A",3,2
"2051","18F","22F",3,3
"2054","18F","23F",3,6
"2094","18F","6B",4,9
"2109","19A","19F",39,70
"2113","19A","21",9,19
"2114","19A","22A",4,13
"2115","19A","22F",8,20
"2116","19A","23A",14,23
"2117","19A","23B",11,18
"2118","19A","23F",19,52
"2121","19A","24F",4,14
"2127","19A","29",4,18
"2128","19A","3",19,36
"2129","19A","31",4,10
"2135","19A","33F",5,16
"2136","19A","34",7,25
"2137","19A","35A",3,13
"2138","19A","35B",5,23
"2139","19A","35C",4,17
"2140","19A","35F",6,19.025
"2142","19A","37",4,11
"2143","19A","38",3,13
"2145","19A","4",9,37
"2149","19A","42",4,10
"2156","19A","5",5,13.025
"2157","19A","6A",31,77.025
"2158","19A","6B",28,80
"2159","19A","6C/D",19,47
"2160","19A","6E",8,17
"2163","19A","7A",3,8
"2164","19A","7B/C",5,18
"2165","19A","7F",9,19
"2166","19A","8",8,21
"2167","19A","9A",3,8
"2168","19A","9L",4,13
"2169","19A","9N",4,17
"2170","19A","9V",12,25
"2181","19B","23F",3,8
"2227","19B","7B/C",4,3
"2299","19F","21",6,16
"2300","19F","22A",4,12
"2301","19F","22F",8,19
"2302","19F","23A",13,21
"2303","19F","23B",8,17.025
"2304","19F","23F",21,47
"2307","19F","24F",4,12
"2313","19F","29",3,16
"2314","19F","3",16,36
"2315","19F","31",3,10
"2321","19F","33F",4,14
"2322","19F","34",7,23
"2323","19F","35A",3,13
"2324","19F","35B",6,20
"2325","19F","35C",3,16
"2326","19F","35F",5,18.025
"2328","19F","37",3,9.02499999999998
"2329","19F","38",4,12
"2331","19F","4",9,35
"2342","19F","5",5,12
"2343","19F","6A",25,74
"2344","19F","6B",24,77
"2345","19F","6C/D",13,43
"2346","19F","6E",6,15.025
"2350","19F","7B/C",6,16
"2351","19F","7F",5,18
"2352","19F","8",5,19
"2354","19F","9L",3,12
"2355","19F","9N",4,16
"2356","19F","9V",13,23
"2534","21","22A",5,3.02499999999998
"2535","21","22F",6,5
"2536","21","23A",3,6
"2537","21","23B",3,5
"2538","21","23F",6,13
"2548","21","3",5,10
"2556","21","34",4,8
"2558","21","35B",3,6
"2559","21","35C",3,4.02499999999998
"2560","21","35F",3,5
"2565","21","4",4,10
"2577","21","6A",5,19
"2578","21","6B",6,21
"2579","21","6C/D",5,12
"2585","21","7F",3,5
"2586","21","8",3,5
"2588","21","9L",3,4
"2590","21","9V",5,7
"2591","22A","22F",7,4
"2592","22A","23A",3,4
"2594","22A","23F",7,10
"2604","22A","3",3,7
"2612","22A","34",3,5
"2614","22A","35B",3,4
"2615","22A","35C",4,4
"2616","22A","35F",3,4
"2621","22A","4",4,7
"2625","22A","42",3,2
"2633","22A","6A",3,14
"2634","22A","6B",3,13
"2635","22A","6C/D",3,8
"2641","22A","7F",3,4
"2642","22A","8",3,4
"2646","22A","9V",3,4
"2647","22F","23A",7,6
"2648","22F","23B",5,5
"2649","22F","23F",11,14
"2652","22F","24F",4,4
"2659","22F","3",7,10
"2660","22F","31",4,3
"2667","22F","34",4,7
"2668","22F","35A",3,4
"2669","22F","35B",5,6
"2670","22F","35C",6,5
"2671","22F","35F",5,6
"2676","22F","4",5,10.025
"2680","22F","42",3,3
"2688","22F","6A",6,21
"2689","22F","6B",8,20.025
"2690","22F","6C/D",7,12
"2695","22F","7B/C",3,5
"2696","22F","7F",5,5
"2697","22F","8",4,5
"2699","22F","9L",4,4
"2700","22F","9N",4,5
"2701","22F","9V",5,6.02499999999998
"2702","23A","23B",6,6
"2703","23A","23F",12,16.025
"2713","23A","3",8,12
"2714","23A","31",4,3
"2720","23A","33F",4,5
"2722","23A","35A",4,4
"2723","23A","35B",4,8
"2728","23A","38",3,4
"2730","23A","4",6,12
"2742","23A","6A",12,25
"2743","23A","6B",9,24.025
"2744","23A","6C/D",6,15
"2749","23A","7B/C",4,6
"2751","23A","8",6,7
"2753","23A","9L",4,4.02499999999998
"2754","23A","9N",3,6
"2755","23A","9V",5,8
"2756","23B","23F",9,13
"2766","23B","3",5,10
"2774","23B","34",4,7
"2778","23B","35F",3,5.02499999999998
"2783","23B","4",4,9
"2794","23B","5",3,3.02499999999998
"2795","23B","6A",8,20.025
"2796","23B","6B",8,20
"2797","23B","6C/D",8,13
"2802","23B","7B/C",3,5
"2803","23B","7F",3,6
"2804","23B","8",3,5
"2808","23B","9V",4,6
"2811","23F","24F",5,9
"2817","23F","29",4,12
"2818","23F","3",13,28
"2819","23F","31",3,8
"2822","23F","33B",3,8
"2826","23F","34",7,18
"2827","23F","35A",3,9
"2828","23F","35B",7,16
"2829","23F","35C",4,12
"2830","23F","35F",6,14
"2832","23F","37",3,8
"2833","23F","38",3,9
"2835","23F","4",8,27
"2839","23F","42",3,6
"2846","23F","5",3,9
"2847","23F","6A",18,54
"2848","23F","6B",18,57
"2849","23F","6C/D",14,34
"2850","23F","6E",5,12
"2854","23F","7B/C",6,12
"2855","23F","7F",6,14
"2856","23F","8",4,15
"2857","23F","9A",3,6
"2858","23F","9L",4,9
"2860","23F","9V",10,18
"2968","24F","3",4,7
"2997","24F","6A",3,14
