"","Serotype1","Serotype2","Freq","975tile"
"1428","15B/C","21",4,0
"1429","15B/C","22A",3,0
"1430","15B/C","22F",6,0
"1431","15B/C","23A",9,0
"1432","15B/C","23B",6,0
"1433","15B/C","23F",12,4
"1442","15B/C","29",3,0
"1443","15B/C","3",8,2
"1451","15B/C","34",5,1
"1453","15B/C","35B",4,0
"1455","15B/C","35F",3,0
"1460","15B/C","4",7,2
"1472","15B/C","6A",11,8
"1473","15B/C","6B",15,7
"1474","15B/C","6C/D",10,3
"1475","15B/C","6E",4,0
"1479","15B/C","7B/C",5,0
"1480","15B/C","7F",4,0
"1483","15B/C","9L",3,0
"1484","15B/C","9N",3,0
"1485","15B/C","9V",10,0
"1490","15F","18A",3,0
"1494","15F","19A",7,1
"1497","15F","19F",7,0
"1503","15F","22F",3,0
"1504","15F","23A",5,0
"1505","15F","23B",3,0
"1506","15F","23F",6,0
"1516","15F","3",7,0
"1545","15F","6A",5,1
"1546","15F","6B",4,1
"1547","15F","6C/D",5,0
"1554","15F","8",3,0
"1558","15F","9V",4,0
"1637","16F","19A",6,4
"1640","16F","19F",7,3
"1646","16F","22F",3,0
"1688","16F","6A",4,4
"1689","16F","6B",3,4
"1690","16F","6C/D",4,2
"1701","16F","9V",3,0
"1773","17F","18B",3,0
"1774","17F","18C",3,0
"1776","17F","19A",4,1.025
"1779","17F","19F",5,1
"1783","17F","21",3,0
"1784","17F","22A",4,0
"1785","17F","22F",7,0
"1786","17F","23A",4,0
"1788","17F","23F",7,0
"1791","17F","24F",4,0
"1798","17F","3",6,0
"1799","17F","31",3,0
"1807","17F","35A",3,0
"1808","17F","35B",3,0
"1815","17F","4",3,0
"1827","17F","6A",4,1
"1828","17F","6B",5,1
"1829","17F","6C/D",3,0
"1840","17F","9V",3,0
"1841","18A","18B",4,0
"1842","18A","18C",5,0
"1843","18A","18F",3,0
"1844","18A","19A",3,1
"1847","18A","19F",3,0
"1853","18A","22F",3,0
"1854","18A","23A",4,0
"1856","18A","23F",4,0
"1875","18A","35A",3,0
"1896","18A","6B",5,0
"1897","18A","6C/D",3,0
"1908","18A","9V",3,0
"1909","18B","18C",6,0
"1910","18B","18F",5,0
"1911","18B","19A",4,0
"1918","18B","21",4,0
"1919","18B","22A",3,0
"1920","18B","22F",4,0
"1921","18B","23A",3,0
"1923","18B","23F",3,0
"1933","18B","3",3,0
"1963","18B","6B",5,0
"1970","18B","7F",3,0
"1971","18B","8",3,0
"1976","18C","18F",5,0
"1977","18C","19A",11,4
"1980","18C","19F",8,3
"1984","18C","21",6,0
"1985","18C","22A",6,0
"1986","18C","22F",6,0
"1987","18C","23A",5,0
"1988","18C","23B",4,0
"1989","18C","23F",10,2
"1999","18C","3",7,1
"2000","18C","31",3,0
"2007","18C","34",4,0
"2008","18C","35A",6,0
"2010","18C","35C",4,0
"2011","18C","35F",3,0
"2014","18C","38",3,0
"2016","18C","4",6,1
"2028","18C","6A",7,4
"2029","18C","6B",8,4
"2030","18C","6C/D",6,2
"2031","18C","6E",3,0
"2036","18C","7F",5,0
"2037","18C","8",5,0
"2041","18C","9V",5,0
"2042","18F","19A",3,0
"2049","18F","21",4,0
"2050","18F","22A",3,0
"2051","18F","22F",3,0
"2054","18F","23F",3,0
"2094","18F","6B",4,0
"2109","19A","19F",39,26.025
"2113","19A","21",9,2
"2114","19A","22A",4,0
"2115","19A","22F",8,2
"2116","19A","23A",14,4
"2117","19A","23B",11,2
"2118","19A","23F",19,17
"2121","19A","24F",4,0
"2127","19A","29",4,1.025
"2128","19A","3",19,9
"2129","19A","31",4,0
"2135","19A","33F",5,1
"2136","19A","34",7,5
"2137","19A","35A",3,0
"2138","19A","35B",5,3
"2139","19A","35C",4,1
"2140","19A","35F",6,2
"2142","19A","37",4,0
"2143","19A","38",3,0
"2145","19A","4",9,10
"2149","19A","42",4,0
"2156","19A","5",5,0
"2157","19A","6A",31,30.025
"2158","19A","6B",28,31
"2159","19A","6C/D",19,14
"2160","19A","6E",8,1
"2163","19A","7A",3,0
"2164","19A","7B/C",5,1
"2165","19A","7F",9,2
"2166","19A","8",8,2
"2167","19A","9A",3,0
"2168","19A","9L",4,0
"2169","19A","9N",4,1
"2170","19A","9V",12,4
"2181","19B","23F",3,0
"2227","19B","7B/C",4,0
"2299","19F","21",6,1
"2300","19F","22A",4,0
"2301","19F","22F",8,2
"2302","19F","23A",13,3
"2303","19F","23B",8,2
"2304","19F","23F",21,15
"2307","19F","24F",4,0
"2313","19F","29",3,1
"2314","19F","3",16,9
"2315","19F","31",3,0
"2321","19F","33F",4,1
"2322","19F","34",7,4
"2323","19F","35A",3,0
"2324","19F","35B",6,2
"2325","19F","35C",3,1
"2326","19F","35F",5,2
"2328","19F","37",3,0
"2329","19F","38",4,0
"2331","19F","4",9,9
"2342","19F","5",5,0
"2343","19F","6A",25,28
"2344","19F","6B",24,28
"2345","19F","6C/D",13,12
"2346","19F","6E",6,1
"2350","19F","7B/C",6,1
"2351","19F","7F",5,2
"2352","19F","8",5,2
"2354","19F","9L",3,0
"2355","19F","9N",4,1
"2356","19F","9V",13,4
"2534","21","22A",5,0
"2535","21","22F",6,0
"2536","21","23A",3,0
"2537","21","23B",3,0
"2538","21","23F",6,1
"2548","21","3",5,0
"2556","21","34",4,0
"2558","21","35B",3,0
"2559","21","35C",3,0
"2560","21","35F",3,0
"2565","21","4",4,0
"2577","21","6A",5,2
"2578","21","6B",6,2
"2579","21","6C/D",5,0
"2585","21","7F",3,0
"2586","21","8",3,0
"2588","21","9L",3,0
"2590","21","9V",5,0
"2591","22A","22F",7,0
"2592","22A","23A",3,0
"2594","22A","23F",7,0
"2604","22A","3",3,0
"2612","22A","34",3,0
"2614","22A","35B",3,0
"2615","22A","35C",4,0
"2616","22A","35F",3,0
"2621","22A","4",4,0
"2625","22A","42",3,0
"2633","22A","6A",3,0
"2634","22A","6B",3,0
"2635","22A","6C/D",3,0
"2641","22A","7F",3,0
"2642","22A","8",3,0
"2646","22A","9V",3,0
"2647","22F","23A",7,0
"2648","22F","23B",5,0
"2649","22F","23F",11,1
"2652","22F","24F",4,0
"2659","22F","3",7,0
"2660","22F","31",4,0
"2667","22F","34",4,0
"2668","22F","35A",3,0
"2669","22F","35B",5,0
"2670","22F","35C",6,0
"2671","22F","35F",5,0
"2676","22F","4",5,0
"2680","22F","42",3,0
"2688","22F","6A",6,2
"2689","22F","6B",8,2
"2690","22F","6C/D",7,1
"2695","22F","7B/C",3,0
"2696","22F","7F",5,0
"2697","22F","8",4,0
"2699","22F","9L",4,0
"2700","22F","9N",4,0
"2701","22F","9V",5,0
"2702","23A","23B",6,0
"2703","23A","23F",12,1
"2713","23A","3",8,1
"2714","23A","31",4,0
"2720","23A","33F",4,0
"2722","23A","35A",4,0
"2723","23A","35B",4,0
"2728","23A","38",3,0
"2730","23A","4",6,1
"2742","23A","6A",12,4
"2743","23A","6B",9,4
"2744","23A","6C/D",6,1
"2749","23A","7B/C",4,0
"2751","23A","8",6,0
"2753","23A","9L",4,0
"2754","23A","9N",3,0
"2755","23A","9V",5,0
"2756","23B","23F",9,1
"2766","23B","3",5,0
"2774","23B","34",4,0
"2778","23B","35F",3,0
"2783","23B","4",4,0
"2794","23B","5",3,0
"2795","23B","6A",8,2
"2796","23B","6B",8,2
"2797","23B","6C/D",8,1
"2802","23B","7B/C",3,0
"2803","23B","7F",3,0
"2804","23B","8",3,0
"2808","23B","9V",4,0
"2811","23F","24F",5,0
"2817","23F","29",4,1
"2818","23F","3",13,5
"2819","23F","31",3,0
"2822","23F","33B",3,0
"2826","23F","34",7,2
"2827","23F","35A",3,0
"2828","23F","35B",7,1
"2829","23F","35C",4,0
"2830","23F","35F",6,1
"2832","23F","37",3,0
"2833","23F","38",3,0
"2835","23F","4",8,5
"2839","23F","42",3,0
"2846","23F","5",3,0
"2847","23F","6A",18,18
"2848","23F","6B",18,18.025
"2849","23F","6C/D",14,8
"2850","23F","6E",5,1
"2854","23F","7B/C",6,0
"2855","23F","7F",6,1
"2856","23F","8",4,1
"2857","23F","9A",3,0
"2858","23F","9L",4,0
"2860","23F","9V",10,2
"2968","24F","3",4,0
"2997","24F","6A",3,0
"2998","24F","6B",3,1
"2999","24F","6C/D",3,0
"3004","24F","7B/C",3,0
"3010","24F","9V",3,0
"3228","28F","6B",3,0
"3241","29","3",4,0
"3251","29","35B",9,0
"3252","29","35C",4,0
"3253","29","35F",3,0
"3270","29","6A",4,1
"3271","29","6B",5,2
"3272","29","6C/D",4,0
"3273","29","6E",3,0
"3283","29","9V",3,0
"3284","3","31",3,0
"3290","3","33F",6,0
"3291","3","34",5,1
"3293","3","35B",5,1
"3294","3","35C",4,0
"3295","3","35F",5,0
"3297","3","37",5,0
"3300","3","4",7,3
"3312","3","6A",17,10
"3313","3","6B",15,10
"3314","3","6C/D",11,4
"3315","3","6E",4,0
"3319","3","7B/C",5,0
"3320","3","7F",8,0
"3321","3","8",6,0
"3324","3","9N",3,0
"3325","3","9V",10,1
"3354","31","6B",3,0
"3362","31","8",3,0
"3365","31","9N",3,0
"3410","33A","33F",3,0
"3470","33B","6A",3,0
"3472","33B","6C/D",3,0
"3543","33D","6A",3,0
"3544","33D","6B",3,0
"3563","33F","37",3,0
"3587","33F","8",3,0
"3593","34","35B",3,0
"3595","34","35F",4,0
"3600","34","4",6,1
"3612","34","6A",7,5
"3613","34","6B",10,5
"3614","34","6C/D",4,2
"3619","34","7B/C",3,0
"3620","34","7F",3,0
"3623","34","9L",3,0
"3625","34","9V",5,0
"3626","35A","35B",3,0
"3627","35A","35C",3,0
"3646","35A","6B",3,0
"3654","35A","8",3,0
"3658","35A","9V",3,0
"3659","35B","35C",6,0
"3660","35B","35F",4,0
"3677","35B","6A",5,3
"3678","35B","6B",6,3
"3679","35B","6C/D",6,1
"3686","35B","8",3,0
"3688","35B","9L",3,0
"3690","35B","9V",4,0
"3691","35C","35F",3,0
"3700","35C","42",5,0
"3709","35C","6B",3,1
"3710","35C","6C/D",3,0
"3721","35C","9V",4,0
"3726","35F","4",3,0
"3738","35F","6A",5,2
"3739","35F","6B",4,2
"3740","35F","6C/D",5,1
"3746","35F","7F",4,0
"3750","35F","9N",3,0
"3808","37","9V",3,0
"3810","38","4",4,0
"3822","38","6A",4,1
"3830","38","7F",4,0
"3865","4","42",3,0
"3873","4","6A",9,10
"3874","4","6B",11,10
"3875","4","6C/D",7,4
"3876","4","6E",4,0
"3880","4","7B/C",3,0
"3881","4","7F",5,0
"3882","4","8",3,0
"3884","4","9L",3,0
"3885","4","9N",4,0
"3886","4","9V",8,1
"3963","42","6A",3,0
"3964","42","6B",3,0
"3976","42","9V",3,0
"4082","5","6A",3,0
"4096","6A","6B",44,34
"4097","6A","6C/D",33,15
"4098","6A","6E",10,1
"4102","6A","7B/C",5,2
"4103","6A","7F",7,2
"4104","6A","8",5,3
"4105","6A","9A",3,0
"4106","6A","9L",3,0.0250000000000021
"4107","6A","9N",3,1
"4108","6A","9V",10,4
"4109","6B","6C/D",29,15
"4110","6B","6E",13,1
"4114","6B","7B/C",6,1
"4115","6B","7F",7,2.025
"4116","6B","8",3,3
"4117","6B","9A",3,0
"4118","6B","9L",3,1
"4119","6B","9N",5,1
"4120","6B","9V",14,3
"4121","6C/D","6E",5,0
"4125","6C/D","7B/C",4,0
"4126","6C/D","7F",6,1
"4127","6C/D","8",4,1
"4129","6C/D","9L",3,0
"4130","6C/D","9N",3,0
"4131","6C/D","9V",8,2
"4141","6E","9V",3,0
"4160","7A","7F",4,0
"4166","7B/C","7F",3,0
"4171","7B/C","9V",4,0
"4172","7F","8",3,0
"4175","7F","9N",3,0
"4176","7F","9V",5,0
"4178","8","9L",3,0
"4180","8","9V",3,0
"4183","9A","9V",4,0
"4184","9L","9N",5,0
"4186","9N","9V",4,0
