"","Serotype1","Serotype2","Freq","025tile","975tile"
"1619","16A","6C/D",1,0,3
"1620","16A","6E",1,0,1
"1621","16A","6F",1,0,0
"1622","16A","6G",1,0,0
"1624","16A","7B/C",1,0,1
"1625","16A","7F",1,0,2
"1626","16A","8",1,0,2
"1627","16A","9A",1,0,1
"1628","16A","9L",1,0,1
"1629","16A","9N",1,0,1
"1630","16A","9V",1,0,2
"1632","16F","17F",1,0,6
"1635","16F","18C",2,0,8
"1637","16F","19A",6,4,23.025
"1640","16F","19F",7,3,22
"1644","16F","21",1,0,6.02499999999998
"1645","16F","22A",2,0,5
"1646","16F","22F",3,0,6
"1647","16F","23A",1,0,8
"1648","16F","23B",2,0,6
"1649","16F","23F",2,2,17
"1659","16F","3",2,1,12
"1660","16F","31",1,0,3
"1662","16F","33A",1,0,2
"1666","16F","33F",1,0,5
"1667","16F","34",1,0,9
"1668","16F","35A",1,0,5
"1670","16F","35C",1,0,6
"1671","16F","35F",1,0,7
"1673","16F","37",1,0,4
"1676","16F","4",1,1,12
"1682","16F","45",1,0,3
"1688","16F","6A",4,5,25
"1689","16F","6B",3,4,25
"1690","16F","6C/D",4,2,16
"1695","16F","7B/C",1,0,5
"1696","16F","7F",2,0,7
"1697","16F","8",2,0,7
"1700","16F","9N",1,0,5
"1701","16F","9V",3,0,8
"1772","17F","18A",2,0,3
"1773","17F","18B",3,0,2.02499999999998
"1774","17F","18C",3,0,6
"1775","17F","18F",2,0,3
"1776","17F","19A",4,1,16
"1777","17F","19B",1,0,3
"1778","17F","19C",2,0,2
"1779","17F","19F",5,1,15
"1780","17F","2",1,0,1
"1783","17F","21",3,0,4
"1784","17F","22A",4,0,3
"1785","17F","22F",7,0,5
"1786","17F","23A",4,0,5
"1787","17F","23B",2,0,4
"1788","17F","23F",7,0,11.025
"1789","17F","24A",1,0,2
"1790","17F","24B",2,0,1
"1791","17F","24F",4,0,3
"1797","17F","29",2,0,4
"1798","17F","3",6,0,9
"1799","17F","31",3,0,3
"1801","17F","33A",1,0,2
"1802","17F","33B",1,0,3
"1805","17F","33F",1,0,3
"1806","17F","34",2,0,6
"1807","17F","35A",3,0,3
"1808","17F","35B",3,0,5
"1809","17F","35C",1,0,4
"1810","17F","35F",2,0,5
"1813","17F","38",1,0,3
"1815","17F","4",3,0,9
"1819","17F","42",2,0,2
"1825","17F","48",1,0,2
"1827","17F","6A",4,1,18
"1828","17F","6B",5,2,18
"1829","17F","6C/D",3,0,10
"1830","17F","6E",2,0,4
"1831","17F","6F",1,0,1
"1832","17F","6G",1,0,1
"1834","17F","7B/C",2,0,4
"1835","17F","7F",2,0,5
"1836","17F","8",2,0,5
"1837","17F","9A",1,0,2
"1838","17F","9L",1,0,3.02499999999998
"1839","17F","9N",2,0,4
"1840","17F","9V",3,0,6
"1841","18A","18B",4,0,2
"1842","18A","18C",5,0,5
"1843","18A","18F",3,0,2
"1844","18A","19A",3,1,13
"1845","18A","19B",2,0,2
"1846","18A","19C",1,0,2
"1847","18A","19F",3,0,13
"1848","18A","2",1,0,1
"1851","18A","21",2,0,3
"1852","18A","22A",2,0,2
"1853","18A","22F",3,0,4
"1854","18A","23A",4,0,5
"1855","18A","23B",1,0,4
"1856","18A","23F",4,0,10
"1858","18A","24B",1,0,1
"1859","18A","24F",1,0,3
"1864","18A","28F",1,0,2
"1865","18A","29",1,0,3
"1866","18A","3",2,0,7
"1867","18A","31",2,0,2
"1874","18A","34",1,0,5
"1875","18A","35A",3,0,2
"1876","18A","35B",2,0,4
"1877","18A","35C",2,0,4
"1878","18A","35F",1,0,4
"1881","18A","38",1,0,3
"1883","18A","4",2,0,7
"1887","18A","42",1,0,2
"1895","18A","6A",2,1,13
"1896","18A","6B",5,0,14
"1897","18A","6C/D",3,0,8
"1898","18A","6E",2,0,3
"1899","18A","6F",1,0,1
"1900","18A","6G",1,0,1
"1902","18A","7B/C",2,0,3
"1903","18A","7F",1,0,4
"1904","18A","8",2,0,4
"1905","18A","9A",2,0,2
"1906","18A","9L",2,0,3
"1907","18A","9N",2,0,3
"1908","18A","9V",3,0,4
"1909","18B","18C",6,0,3
"1910","18B","18F",5,0,2
"1911","18B","19A",4,0,9.02499999999998
"1912","18B","19B",1,0,2
"1913","18B","19C",1,0,1
"1914","18B","19F",2,0,9
"1915","18B","2",1,0,1
"1918","18B","21",4,0,3
"1919","18B","22A",3,0,2
"1920","18B","22F",4,0,3
"1921","18B","23A",3,0,3
"1922","18B","23B",1,0,3
"1923","18B","23F",3,0,7
"1925","18B","24B",1,0,1
"1926","18B","24F",2,0,2
"1931","18B","28F",1,0,1
"1932","18B","29",1,0,3
"1933","18B","3",3,0,5
"1934","18B","31",2,0,2
"1941","18B","34",2,0,4
"1942","18B","35A",2,0,2
"1943","18B","35B",2,0,3
"1944","18B","35C",2,0,2
"1945","18B","35F",1,0,3
"1948","18B","38",1,0,2
"1950","18B","4",2,0,5
"1954","18B","42",2,0,2
"1962","18B","6A",2,0,10
"1963","18B","6B",5,0,11
"1964","18B","6C/D",2,0,6
"1965","18B","6E",1,0,2
"1966","18B","6F",1,0,1
"1967","18B","6G",1,0,1
"1968","18B","7A",1,0,1
"1969","18B","7B/C",1,0,3
"1970","18B","7F",3,0,3
"1971","18B","8",3,0,3
"1972","18B","9A",1,0,1
"1973","18B","9L",2,0,2
"1974","18B","9N",2,0,2
"1975","18B","9V",2,0,3
"1976","18C","18F",5,0,4
"1977","18C","19A",11,4,26
"1978","18C","19B",1,0,4
"1979","18C","19C",1,0,3
"1980","18C","19F",8,4,24
"1981","18C","2",1,0,2
"1984","18C","21",6,0,7
"1985","18C","22A",6,0,4
"1986","18C","22F",6,0,7
"1987","18C","23A",5,0,8
"1988","18C","23B",4,0,6
"1989","18C","23F",10,2,18
"1991","18C","24B",1,0,2
"1992","18C","24F",2,0,4
"1995","18C","27",1,0,2
"1997","18C","28F",2,0,3
"1998","18C","29",2,0,7
"1999","18C","3",7,1,12
"2000","18C","31",3,0,4
"2002","18C","33A",2,0,2
"2003","18C","33B",1,0,4
"2006","18C","33F",2,0,6
"2007","18C","34",4,0,9
"2008","18C","35A",6,0,4.02499999999998
"2009","18C","35B",2,0,8
"2010","18C","35C",4,0,6
"2011","18C","35F",3,0,7
"2014","18C","38",3,0,5
"2016","18C","4",6,1,12
"2020","18C","42",2,0,3.02499999999998
"2022","18C","45",1,0,3
"2027","18C","5",2,0,4.02499999999998
"2028","18C","6A",7,4,26
"2029","18C","6B",8,4,25
"2030","18C","6C/D",6,2,16
"2031","18C","6E",3,0,6
"2032","18C","6F",1,0,2
"2033","18C","6G",1,0,1
"2034","18C","7A",2,0,3
"2035","18C","7B/C",2,0,6
"2036","18C","7F",5,0,7
"2037","18C","8",5,0,7
"2038","18C","9A",1,0,3
"2039","18C","9L",2,0,4.02499999999998
"2040","18C","9N",2,0,6
"2041","18C","9V",5,0,9
"2042","18F","19A",3,0,10
"2043","18F","19B",1,0,2
"2044","18F","19C",1,0,1
"2045","18F","19F",2,0,9
"2046","18F","2",1,0,1
"2049","18F","21",4,0,3
"2050","18F","22A",3,0,2
"2051","18F","22F",3,0,3
"2052","18F","23A",2,0,3.02499999999998
"2053","18F","23B",1,0,3
"2054","18F","23F",3,0,7
"2056","18F","24B",1,0,1
"2057","18F","24F",2,0,2
"2062","18F","28F",1,0,1
"2063","18F","29",1,0,3
"2064","18F","3",2,0,5
"2065","18F","31",1,0,2
"2072","18F","34",2,0,4
"2073","18F","35A",1,0,2
"2074","18F","35B",2,0,3
"2075","18F","35C",2,0,3
"2076","18F","35F",1,0,3
"2079","18F","38",1,0,2
"2081","18F","4",2,0,5
"2085","18F","42",2,0,2
"2093","18F","6A",2,0,10
"2094","18F","6B",4,0,10
"2095","18F","6C/D",2,0,6
"2096","18F","6E",1,0,2
"2097","18F","6F",1,0,1
"2098","18F","6G",1,0,1
"2100","18F","7B/C",1,0,3
"2101","18F","7F",2,0,3
"2102","18F","8",2,0,3
"2103","18F","9A",1,0,1
"2104","18F","9L",2,0,2
"2105","18F","9N",1,0,2
"2106","18F","9V",2,0,4
"2107","19A","19B",2,0,12
"2108","19A","19C",2,0,7
"2109","19A","19F",39,27,72
"2110","19A","2",1,0,4
"2112","19A","20B",1,0,5
"2113","19A","21",9,2,18
"2114","19A","22A",4,0,13
"2115","19A","22F",8,2,19
"2116","19A","23A",14,4,24
"2117","19A","23B",11,2,18
"2118","19A","23F",19,16,52
"2119","19A","24A",1,0,6
"2120","19A","24B",2,0,5
"2121","19A","24F",4,1,14
"2124","19A","27",2,0,7
"2126","19A","28F",2,0,9
"2127","19A","29",4,2,17
"2128","19A","3",19,10,37
"2129","19A","31",4,0,11
"2131","19A","33A",2,0,6
"2132","19A","33B",2,0,10
"2134","19A","33D",2,0,7
"2135","19A","33F",5,1,15
"2136","19A","34",7,4,26
"2137","19A","35A",3,0,13
"2138","19A","35B",5,3,22
"2139","19A","35C",4,1,17
"2140","19A","35F",6,2,20
"2141","19A","36",1,0,8
"2142","19A","37",4,0,11
"2143","19A","38",3,0,13.025
"2145","19A","4",9,9,37
"2149","19A","42",4,0,10
"2151","19A","45",1,0,7
"2156","19A","5",5,0,13
"2157","19A","6A",31,31,79
"2158","19A","6B",28,31,76
"2159","19A","6C/D",19,14.975,46.025
"2160","19A","6E",8,1,16
"2161","19A","6F",2,0,5
"2162","19A","6G",1,0,3.02499999999998
"2163","19A","7A",3,0,8
"2164","19A","7B/C",5,1,18
"2165","19A","7F",9,3,20
"2166","19A","8",8,3,21
"2167","19A","9A",3,0,9
"2168","19A","9L",4,0,13
"2169","19A","9N",4,1,16
"2170","19A","9V",12,4,24
"2171","19B","19C",1,0,2
"2172","19B","19F",2,0,11
"2173","19B","2",1,0,1
"2176","19B","21",1,0,3
"2177","19B","22A",1,0,2
"2178","19B","22F",1,0,4
"2179","19B","23A",2,0,4
"2180","19B","23B",1,0,3
"2181","19B","23F",3,0,9
"2183","19B","24B",1,0,1
"2184","19B","24F",1,0,2
"2190","19B","29",1,0,3
"2191","19B","3",2,0,6
"2192","19B","31",1,0,2
"2199","19B","34",1,0,4.02499999999998
"2201","19B","35B",1,0,4
"2203","19B","35F",1,0,3.02499999999998
"2206","19B","38",1,0,2
"2208","19B","4",2,0,6
"2209","19B","40",1,0,1
"2212","19B","42",1,0,2
"2219","19B","5",1,0,2
"2220","19B","6A",2,0,12
"2221","19B","6B",2,0,12
"2222","19B","6C/D",2,0,8
"2223","19B","6E",1,0,3
"2224","19B","6F",1,0,1
"2225","19B","6G",1,0,1
"2227","19B","7B/C",4,0,3
"2228","19B","7F",1,0,3
"2229","19B","8",1,0,4
"2230","19B","9A",2,0,2
"2231","19B","9L",1,0,2
"2232","19B","9N",1,0,3
"2233","19B","9V",2,0,4
"2234","19C","19F",2,0,8
"2235","19C","2",1,0,1
"2238","19C","21",1,0,2
"2239","19C","22A",1,0,2
"2240","19C","22F",1,0,2
"2241","19C","23A",1,0,2
"2242","19C","23B",1,0,2
"2243","19C","23F",1,0,5
"2245","19C","24B",1,0,1
"2246","19C","24F",1,0,2
"2252","19C","29",1,0,2
"2253","19C","3",1,0,4
"2254","19C","31",1,0,1
"2261","19C","34",1,0,3
"2263","19C","35B",1,0,3
"2265","19C","35F",2,0,3
"2268","19C","38",1,0,2
"2270","19C","4",1,0,4
"2274","19C","42",1,0,1
"2282","19C","6A",1,0,8
"2283","19C","6B",1,0,8
"2284","19C","6C/D",1,0,5
"2285","19C","6E",1,0,2
"2286","19C","6F",1,0,1
"2287","19C","6G",1,0,0
"2289","19C","7B/C",1,0,2
"2290","19C","7F",1,0,2
"2291","19C","8",1,0,2.02499999999998
"2292","19C","9A",1,0,1
"2293","19C","9L",1,0,2
"2294","19C","9N",1,0,2
"2295","19C","9V",1,0,3
"2296","19F","2",2,0,5
"2299","19F","21",6,2,17
"2300","19F","22A",4,0,12
"2301","19F","22F",8,2,18
"2302","19F","23A",13,3,22
"2303","19F","23B",8,2,17
"2304","19F","23F",21,15,49
"2305","19F","24A",1,0,6
"2306","19F","24B",2,0,4
"2307","19F","24F",4,0,12
"2310","19F","27",1,0,6.02499999999998
"2311","19F","28A",1,0,6
"2312","19F","28F",2,0,8
"2313","19F","29",3,2,16.025
"2314","19F","3",16,8,35
"2315","19F","31",3,0,11
"2317","19F","33A",1,0,6
"2318","19F","33B",2,0,10
"2320","19F","33D",2,0,6
"2321","19F","33F",4,1,14
"2322","19F","34",7,4,25
"2323","19F","35A",3,0,13
"2324","19F","35B",6,3,21
"2325","19F","35C",3,1,16
"2326","19F","35F",5,2,18
"2327","19F","36",1,0,8
"2328","19F","37",3,0,10
"2329","19F","38",4,0,12
"2331","19F","4",9,9,34
"2335","19F","42",2,0,10
"2337","19F","45",1,0,6
"2341","19F","48",1,0,8
"2342","19F","5",5,0,12
"2343","19F","6A",25,28,72
"2344","19F","6B",24,28,72
"2345","19F","6C/D",13,12,43
"2346","19F","6E",6,1,15
"2347","19F","6F",1,0,5
"2348","19F","6G",1,0,3.02499999999998
"2350","19F","7B/C",6,1,17
"2351","19F","7F",5,2,19
"2352","19F","8",5,2,20
"2353","19F","9A",2,0,8
"2354","19F","9L",3,0,13
"2355","19F","9N",4,1,14
"2356","19F","9V",13,3,24
"2359","2","21",1,0,1
"2360","2","22A",1,0,1
"2361","2","22F",1,0,2
"2362","2","23A",1,0,2
"2363","2","23B",1,0,1
"2364","2","23F",2,0,4
"2366","2","24B",1,0,0
"2367","2","24F",1,0,1
"2373","2","29",1,0,1
"2374","2","3",1,0,3
"2375","2","31",1,0,1
"2382","2","34",2,0,2
"2384","2","35B",2,0,2
"2386","2","35F",1,0,2
"2389","2","38",1,0,1
"2391","2","4",1,0,3
"2395","2","42",1,0,1
"2403","2","6A",1,0,6
"2404","2","6B",2,0,5
"2405","2","6C/D",1,0,3
"2406","2","6E",1,0,1
"2407","2","6F",1,0,0
"2408","2","6G",1,0,0
"2410","2","7B/C",2,0,1
"2411","2","7F",1,0,2
"2412","2","8",1,0,2
"2413","2","9A",1,0,1
"2414","2","9L",1,0,1
"2415","2","9N",1,0,1
"2416","2","9V",1,0,2
"2475","20A","9V",1,0,1
"2516","20B","47A",1,0,0
"2521","20B","6B",1,0,5
"2527","20B","7B/C",1,0,1
"2534","21","22A",5,0,4
"2535","21","22F",6,0,5
"2536","21","23A",3,0,6
"2537","21","23B",3,0,4.02499999999998
"2538","21","23F",6,1,13
"2540","21","24B",1,0,1
"2541","21","24F",2,0,4
"2547","21","29",1,0,5
"2548","21","3",5,0,10
"2549","21","31",2,0,3
"2555","21","33F",1,0,4
"2556","21","34",4,0,7.02499999999998
"2557","21","35A",1,0,4
"2558","21","35B",3,0,6
"2559","21","35C",3,0,4
"2560","21","35F",3,0,5
"2561","21","36",1,0,2
"2562","21","37",1,0,3
"2563","21","38",1,0,4
"2565","21","4",4,0,9
"2569","21","42",2,0,3
"2571","21","45",1,0,2
"2576","21","5",1,0,4
"2577","21","6A",5,2,19
"2578","21","6B",6,2,20
"2579","21","6C/D",5,1,12
"2580","21","6E",1,0,4
"2581","21","6F",1,0,2
"2582","21","6G",1,0,1
"2584","21","7B/C",2,0,5
"2585","21","7F",3,0,5
"2586","21","8",3,0,6
"2587","21","9A",1,0,2
"2588","21","9L",3,0,4
"2589","21","9N",2,0,4
"2590","21","9V",5,0,7
"2591","22A","22F",7,0,4
"2592","22A","23A",3,0,4
"2593","22A","23B",2,0,4
"2594","22A","23F",7,0,9
"2596","22A","24B",1,0,1
"2597","22A","24F",2,0,2.02499999999998
"2603","22A","29",1,0,3
"2604","22A","3",3,0,7
"2605","22A","31",1,0,2
"2606","22A","32F",1,0,1
"2612","22A","34",3,0,5
"2613","22A","35A",1,0,2.02499999999998
"2614","22A","35B",3,0,4.02499999999998
"2615","22A","35C",4,0,3
"2616","22A","35F",3,0,4
"2619","22A","38",1,0,2
"2621","22A","4",4,0,6
"2625","22A","42",3,0,2
"2627","22A","45",1,0,2
"2633","22A","6A",3,0,14
"2634","22A","6B",3,1,13
"2635","22A","6C/D",3,0,8
"2636","22A","6E",1,0,3
"2637","22A","6F",1,0,1
"2638","22A","6G",1,0,1
"2640","22A","7B/C",2,0,3
"2641","22A","7F",3,0,4
"2642","22A","8",3,0,4
"2643","22A","9A",1,0,2
"2644","22A","9L",2,0,2
"2645","22A","9N",2,0,3
"2646","22A","9V",3,0,5
"2647","22F","23A",7,0,6
"2648","22F","23B",5,0,5
"2649","22F","23F",11,1,14
"2650","22F","24A",1,0,2
"2651","22F","24B",2,0,1
"2652","22F","24F",4,0,4
"2658","22F","29",2,0,5
"2659","22F","3",7,0,10
"2660","22F","31",4,0,3
"2662","22F","33A",1,0,2
"2666","22F","33F",2,0,4
"2667","22F","34",4,0,7
"2668","22F","35A",3,0,4
"2669","22F","35B",5,0,6
"2670","22F","35C",6,0,5
"2671","22F","35F",5,0,6
"2672","22F","36",2,0,2
"2674","22F","38",1,0,3
"2676","22F","4",5,0,10
"2680","22F","42",3,0,3
"2682","22F","45",1,0,2
"2686","22F","48",1,0,3
"2688","22F","6A",6,2,20
"2689","22F","6B",8,2,20
"2690","22F","6C/D",7,1,12
"2691","22F","6E",1,0,4
"2692","22F","6F",1,0,2
"2693","22F","6G",1,0,1
"2694","22F","7A",2,0,2
"2695","22F","7B/C",3,0,5
"2696","22F","7F",5,0,5.02499999999998
"2697","22F","8",4,0,6
"2698","22F","9A",1,0,2
"2699","22F","9L",4,0,4
"2700","22F","9N",4,0,4
"2701","22F","9V",5,0,7
"2702","23A","23B",6,0,6
"2703","23A","23F",12,2,17
"2704","23A","24A",1,0,2
"2705","23A","24B",2,0,2
"2706","23A","24F",2,0,4
"2709","23A","27",1,0,2.02499999999998
"2712","23A","29",2,0,6
"2713","23A","3",8,1,12
"2714","23A","31",4,0,4
"2716","23A","33A",2,0,2
"2717","23A","33B",1,0,4
"2720","23A","33F",4,0,5
"2721","23A","34",2,0,8
"2722","23A","35A",4,0,4
"2723","23A","35B",4,0,8
"2724","23A","35C",2,0,6
"2725","23A","35F",2,0,7
"2726","23A","36",1,0,3
"2727","23A","37",1,0,4
"2728","23A","38",3,0,4
"2730","23A","4",6,0.975000000000001,12
"2734","23A","42",2,0,3
"2741","23A","5",1,0,5
"2742","23A","6A",12,4,25
"2743","23A","6B",9,4,25
"2744","23A","6C/D",6,1,14
"2745","23A","6E",2,0,5
"2746","23A","6F",1,0,2
"2747","23A","6G",1,0,1
"2749","23A","7B/C",4,0,6
"2750","23A","7F",1,0,6.02499999999998
"2751","23A","8",6,0,7
"2752","23A","9A",2,0,3
"2753","23A","9L",4,0,5
"2754","23A","9N",3,0,5
"2755","23A","9V",5,0,8
"2756","23B","23F",9,1,13
"2757","23B","24A",1,0,2
"2758","23B","24B",2,0,1
"2759","23B","24F",2,0,4
"2762","23B","27",1,0,2
"2765","23B","29",2,0,4.02499999999998
"2766","23B","3",5,0,9
"2767","23B","31",2,0,3
"2769","23B","33A",1,0,2
"2770","23B","33B",1,0,3
"2772","23B","33D",1,0,2
"2773","23B","33F",1,0,4
"2774","23B","34",4,0,7
"2775","23B","35A",1,0,4
"2776","23B","35B",2,0,6
"2777","23B","35C",1,0,4
"2778","23B","35F",3,0,6
"2779","23B","36",1,0,2
"2781","23B","38",2,0,4
"2783","23B","4",4,0,9
"2787","23B","42",1,0,3
"2789","23B","45",1,0,2
"2794","23B","5",3,0,3
"2795","23B","6A",8,2,18
"2796","23B","6B",8,2,19
"2797","23B","6C/D",8,0,12
"2798","23B","6E",2,0,4
"2799","23B","6F",1,0,1
"2800","23B","6G",1,0,1
"2802","23B","7B/C",3,0,5
"2803","23B","7F",3,0,5
"2804","23B","8",3,0,6
"2805","23B","9A",1,0,3
"2806","23B","9L",2,0,3.02499999999998
"2807","23B","9N",2,0,4
"2808","23B","9V",4,0,6
"2809","23F","24A",1,0,4
"2810","23F","24B",2,0,3
"2811","23F","24F",5,0,9
"2812","23F","25A",1,0,5
"2814","23F","27",1,0,5
"2816","23F","28F",1,0,6
"2817","23F","29",4,1,12
"2818","23F","3",13,5,25
"2819","23F","31",3,0,8
"2820","23F","32F",1,0,3
"2821","23F","33A",1,0,4
"2822","23F","33B",3,0,8
"2824","23F","33D",1,0,5
"2825","23F","33F",2,0,11
"2826","23F","34",7,2.975,18
"2827","23F","35A",3,0,9
"2828","23F","35B",7,2,16
"2829","23F","35C",4,0,12
"2830","23F","35F",6,1,14
"2831","23F","36",2,0,6
"2832","23F","37",3,0,8.02499999999998
"2833","23F","38",3,0,9
"2834","23F","39",1,0,5
"2835","23F","4",8,6,26
"2839","23F","42",3,0,7
"2841","23F","45",1,0,5
"2845","23F","48",1,0,6
"2846","23F","5",3,0,9
"2847","23F","6A",18,18,56
"2848","23F","6B",18,19,55
"2849","23F","6C/D",14,8,33.025
"2850","23F","6E",5,0,11
"2851","23F","6F",1,0,3.02499999999998
"2852","23F","6G",1,0,3
"2854","23F","7B/C",6,0,12.025
"2855","23F","7F",6,1,14
"2856","23F","8",4,1,15
"2857","23F","9A",3,0,6
"2858","23F","9L",4,0,9
"2859","23F","9N",2,0,11.025
"2860","23F","9V",10,2,17
"2861","24A","24B",1,0,1
"2862","24A","24F",1,0,1
"2869","24A","3",1,0,3.02499999999998
"2896","24A","48",1,0,1
"2898","24A","6A",1,0,6
"2899","24A","6B",1,0,7
"2900","24A","6C/D",1,0,4
"2905","24A","7B/C",1,0,2
"2911","24A","9V",1,0,2
"2912","24B","24F",2,0,1
"2918","24B","29",1,0,1
"2919","24B","3",2,0,3
"2920","24B","31",1,0,1
"2927","24B","34",1,0,2
"2929","24B","35B",1,0,2
"2931","24B","35F",1,0,1
"2934","24B","38",1,0,1
"2936","24B","4",1,0,3
"2940","24B","42",1,0,1
"2948","24B","6A",2,0,5
"2949","24B","6B",2,0,5
"2950","24B","6C/D",2,0,3
"2951","24B","6E",1,0,1
"2952","24B","6F",1,0,0
"2953","24B","6G",1,0,0
"2955","24B","7B/C",2,0,1
"2956","24B","7F",1,0,2
"2957","24B","8",1,0,2
"2958","24B","9A",1,0,1
"2959","24B","9L",1,0,1
"2960","24B","9N",1,0,1
"2961","24B","9V",2,0,2
"2967","24F","29",1,0,3
"2968","24F","3",4,0,7
"2969","24F","31",1,0,2
"2976","24F","34",2,0,5
"2978","24F","35B",1,0,4
"2979","24F","35C",1,0,3
"2980","24F","35F",1,0,4
"2983","24F","38",1,0,3
"2985","24F","4",2,0,7
"2989","24F","42",2,0,2
"2995","24F","48",1,0,2
"2997","24F","6A",3,0,14
"2998","24F","6B",3,0,14
"2999","24F","6C/D",3,0,8
"3000","24F","6E",1,0,3
"3001","24F","6F",1,0,1
"3002","24F","6G",1,0,1
"3004","24F","7B/C",3,0,3
"3005","24F","7F",2,0,4
"3006","24F","8",1,0,4
"3007","24F","9A",1,0,2
"3008","24F","9L",1,0,3
"3009","24F","9N",1,0,3
"3010","24F","9V",3,0,5
"3011","25A","25F",1,0,1
"3015","25A","29",1,0,2
"3031","25A","38",2,0,1
"3045","25A","6A",1,0,6
"3053","25A","7F",1,0,2
"3078","25F","38",2,0,1
"3108","27","29",1,0,2
"3124","27","38",1,0,1
"3126","27","4",1,0,3
"3127","27","40",1,0,1
"3137","27","5",1,0,1
"3138","27","6A",1,0,8
"3139","27","6B",1,0,7
"3140","27","6C/D",1,0,5
"3141","27","6E",1,0,2
"3152","28A","28F",2,0,1
"3202","28F","33B",1,0,2
"3204","28F","33D",1,0,1
"3206","28F","34",1,0,3
"3207","28F","35A",1,0,2
"3215","28F","4",1,0,4
"3227","28F","6A",1,0,9
"3228","28F","6B",3,0,9
"3229","28F","6C/D",1,0,6
"3230","28F","6E",2,0,2
"3236","28F","8",1,0,3
"3240","28F","9V",1,0,3
"3241","29","3",4,0,9
"3242","29","31",1,0,3
"3245","29","33B",1,0,3
"3249","29","34",2,0,7
"3251","29","35B",9,0,6
"3252","29","35C",4,0,4
"3253","29","35F",3,0,5
"3254","29","36",2,0,2
"3255","29","37",1,0,3
"3256","29","38",2,0,4
"3258","29","4",2,0,9
"3262","29","42",1,0,2
"3269","29","5",1,0,3
"3270","29","6A",4,2,18
"3271","29","6B",5,2,20
"3272","29","6C/D",4,0,12
"3273","29","6E",3,0,4
"3274","29","6F",1,0,1
"3275","29","6G",1,0,1
"3276","29","7A",1,0,2
"3277","29","7B/C",1,0,4
"3278","29","7F",1,0,5
"3279","29","8",1,0,6
"3280","29","9A",1,0,2
"3281","29","9L",1,0,4
"3282","29","9N",1,0,4
"3283","29","9V",3,0,6
"3284","3","31",3,0,6
"3286","3","33A",2,0,3
"3287","3","33B",2,0,6
"3288","3","33C",1,0,3
"3289","3","33D",1,0,4
"3290","3","33F",6,0,8
"3291","3","34",5,1,14
"3292","3","35A",2,0,7
"3293","3","35B",5,1,11
"3294","3","35C",4,0,9
"3295","3","35F",5,0,10.025
"3296","3","36",1,0,4
"3297","3","37",5,0,6
"3298","3","38",2,0,7
"3299","3","39",1,0,4
"3300","3","4",7,3,19
"3301","3","40",1,0,3
"3304","3","42",2,0,5
"3306","3","45",1,0,4
"3307","3","46",1,0,3
"3310","3","48",1,0,4
"3311","3","5",2,0,7
"3312","3","6A",17,10,40
"3313","3","6B",15,10,39
"3314","3","6C/D",11,4,24.025
"3315","3","6E",4,0,9
"3316","3","6F",2,0,3
"3317","3","6G",1,0,2
"3318","3","7A",2,0,4
"3319","3","7B/C",5,0,9
"3320","3","7F",8,0,10
"3321","3","8",6,0,11
"3322","3","9A",2,0,4
"3323","3","9L",2,0,7
"3324","3","9N",3,0,9
"3325","3","9V",10,1,12
"3327","31","33A",1,0,1
"3331","31","33F",1,0,2
"3332","31","34",2,0,4
"3333","31","35A",2,0,2
"3334","31","35B",2,0,4
"3336","31","35F",1,0,3
"3337","31","36",1,0,1
"3339","31","38",1,0,2
"3341","31","4",2,0,5
"3345","31","42",1,0,2
"3353","31","6A",2,0,11
"3354","31","6B",3,0,11
"3355","31","6C/D",2,0,7
"3356","31","6E",1,0,2
"3357","31","6F",1,0,1
"3358","31","6G",1,0,1
"3360","31","7B/C",1,0,3
"3361","31","7F",1,0,3
"3362","31","8",3,0,3
"3363","31","9A",1,0,1
"3364","31","9L",2,0,2
"3365","31","9N",3,0,2
"3366","31","9V",2,0,4
"3376","32F","35F",1,0,1.02499999999998
"3407","33A","33B",1,0,1
"3410","33A","33F",3,0,2
"3412","33A","35A",2,0,1
"3415","33A","35F",1,0,2
"3432","33A","6A",1,0,6
"3434","33A","6C/D",1,0,4
"3441","33A","8",2,0,2
"3447","33B","33D",2,0,1
"3448","33B","33F",1,0,2
"3450","33B","35A",1,0,2
"3451","33B","35B",1,0,4
"3453","33B","35F",1,0,3
"3470","33B","6A",3,0,11
"3471","33B","6B",2,0,11
"3472","33B","6C/D",3,0,7
"3473","33B","6E",1,0,3
"3479","33B","8",1,0,3
"3508","33C","6B",1,0,5
"3517","33C","9A",1,0,1
"3520","33C","9V",1,0,2
"3522","33D","34",1,0,3
"3542","33D","5",1,0,1
"3543","33D","6A",3,0,8
"3544","33D","6B",3,0,7
"3545","33D","6C/D",2,0,5
"3546","33D","6E",1,0,2
"3558","33F","35A",2,0,3
"3560","33F","35C",1,0,4
"3561","33F","35F",1,0,4
"3563","33F","37",3,0,2
"3566","33F","4",1,0,8
"3578","33F","6A",2,1,15.025
"3579","33F","6B",1,1,15
"3580","33F","6C/D",1,0,9
"3586","33F","7F",1,0,5
"3587","33F","8",3,0,5
"3590","33F","9N",1,0,3
"3591","33F","9V",2,0,5
"3592","34","35A",1,0,5
"3593","34","35B",3,0,8
"3594","34","35C",2,0,7
"3595","34","35F",4,0,7
"3596","34","36",1,0,3
"3597","34","37",1,0,4
"3598","34","38",1,0,5
