"","Sero1","Sero2","shared_mlst"
"550","11B","11C",2
"551","11B","11D",0
"552","11B","11E",0
"553","11B","11F",0
"554","11B","12A",0
"555","11B","12B",0
"556","11B","12F",0
"557","11B","13",0
"558","11B","14",2
"559","11B","15A",0
"560","11B","15B/C",0
"561","11B","15F",0
"562","11B","16A",0
"563","11B","16F",0
"564","11B","17A",0
"565","11B","17F",0
"566","11B","18A",0
"567","11B","18B",0
"568","11B","18C",0
"569","11B","18F",0
"570","11B","19A",0
"571","11B","19B",0
"572","11B","19C",0
"573","11B","19F",1
"574","11B","19А",0
"575","11B","2",0
"576","11B","20A",0
"577","11B","20B",0
"578","11B","21",0
"579","11B","22A",0
"580","11B","22F",0
"581","11B","23A",0
"582","11B","23B",0
"583","11B","23F",0
"584","11B","24A",0
"585","11B","24B",0
"586","11B","24F",0
"587","11B","25A",0
"588","11B","25F",0
"589","11B","27",0
"590","11B","28A",0
"591","11B","28F",0
"592","11B","29",0
"593","11B","3",0
"594","11B","31",0
"595","11B","32A",0
"596","11B","32F",0
"597","11B","33A",0
"598","11B","33B",1
"599","11B","33C",0
"600","11B","33D",1
"601","11B","33F",0
"602","11B","34",0
"603","11B","35A",0
"604","11B","35B",0
"605","11B","35C",0
"606","11B","35F",0
"607","11B","36",0
"608","11B","37",0
"609","11B","38",0
"610","11B","39",0
"611","11B","4",1
"612","11B","40",0
"613","11B","41A",0
"614","11B","41F",0
"615","11B","42",0
"616","11B","43",0
"617","11B","44",0
"618","11B","45",0
"619","11B","46",0
"620","11B","47A",0
"621","11B","47F",0
"622","11B","48",0
"623","11B","5",0
"624","11B","6A",0
"625","11B","6B",1
"626","11B","6C/D",0
"627","11B","6E",0
"628","11B","6F",0
"629","11B","6G",0
"630","11B","7A",0
"631","11B","7B/C",0
"632","11B","7F",1
"633","11B","8",0
"634","11B","9A",0
"635","11B","9L",0
"636","11B","9N",0
"637","11B","9V",1
"638","11C","11D",0
"639","11C","11E",0
"640","11C","11F",0
"641","11C","12A",0
"642","11C","12B",0
"643","11C","12F",0
"644","11C","13",0
"645","11C","14",1
"646","11C","15A",0
"647","11C","15B/C",0
"648","11C","15F",0
"649","11C","16A",0
"650","11C","16F",0
"651","11C","17A",0
"652","11C","17F",0
"653","11C","18A",0
"654","11C","18B",0
"655","11C","18C",0
"656","11C","18F",0
"657","11C","19A",0
"658","11C","19B",0
"659","11C","19C",0
"660","11C","19F",0
"661","11C","19А",0
"662","11C","2",0
"663","11C","20A",0
"664","11C","20B",0
"665","11C","21",0
"666","11C","22A",0
"667","11C","22F",0
"668","11C","23A",0
"669","11C","23B",0
"670","11C","23F",0
"671","11C","24A",0
"672","11C","24B",0
"673","11C","24F",0
"674","11C","25A",0
"675","11C","25F",0
"676","11C","27",0
"677","11C","28A",0
"678","11C","28F",0
"679","11C","29",0
"680","11C","3",0
"681","11C","31",0
"682","11C","32A",0
"683","11C","32F",0
"684","11C","33A",0
"685","11C","33B",0
"686","11C","33C",0
"687","11C","33D",0
"688","11C","33F",0
"689","11C","34",0
"690","11C","35A",0
"691","11C","35B",0
"692","11C","35C",0
"693","11C","35F",0
"694","11C","36",0
"695","11C","37",0
"696","11C","38",0
"697","11C","39",0
"698","11C","4",0
"699","11C","40",0
"700","11C","41A",0
"701","11C","41F",0
"702","11C","42",0
"703","11C","43",0
"704","11C","44",0
"705","11C","45",0
"706","11C","46",0
"707","11C","47A",0
"708","11C","47F",0
"709","11C","48",0
"710","11C","5",0
"711","11C","6A",0
"712","11C","6B",0
"713","11C","6C/D",0
"714","11C","6E",0
"715","11C","6F",0
"716","11C","6G",0
"717","11C","7A",0
"718","11C","7B/C",1
"719","11C","7F",0
"720","11C","8",0
"721","11C","9A",0
"722","11C","9L",0
"723","11C","9N",0
"724","11C","9V",1
"725","11D","11E",1
"726","11D","11F",0
"727","11D","12A",0
"728","11D","12B",0
"729","11D","12F",0
"730","11D","13",0
"731","11D","14",0
"732","11D","15A",0
"733","11D","15B/C",0
"734","11D","15F",0
"735","11D","16A",0
"736","11D","16F",0
"737","11D","17A",0
"738","11D","17F",0
"739","11D","18A",0
"740","11D","18B",0
"741","11D","18C",0
"742","11D","18F",0
"743","11D","19A",1
"744","11D","19B",0
"745","11D","19C",0
"746","11D","19F",0
"747","11D","19А",0
"748","11D","2",0
"749","11D","20A",0
"750","11D","20B",0
"751","11D","21",0
"752","11D","22A",0
"753","11D","22F",0
"754","11D","23A",0
"755","11D","23B",1
"756","11D","23F",0
"757","11D","24A",0
"758","11D","24B",0
"759","11D","24F",0
"760","11D","25A",0
"761","11D","25F",0
"762","11D","27",0
"763","11D","28A",0
"764","11D","28F",0
"765","11D","29",0
"766","11D","3",0
"767","11D","31",0
"768","11D","32A",0
"769","11D","32F",0
"770","11D","33A",0
"771","11D","33B",0
"772","11D","33C",0
"773","11D","33D",0
"774","11D","33F",0
"775","11D","34",0
"776","11D","35A",0
"777","11D","35B",0
"778","11D","35C",0
"779","11D","35F",0
"780","11D","36",0
"781","11D","37",0
"782","11D","38",0
"783","11D","39",0
"784","11D","4",0
"785","11D","40",0
"786","11D","41A",0
"787","11D","41F",0
"788","11D","42",0
"789","11D","43",0
"790","11D","44",0
"791","11D","45",0
"792","11D","46",0
"793","11D","47A",0
"794","11D","47F",0
"795","11D","48",0
"796","11D","5",0
"797","11D","6A",0
"798","11D","6B",0
"799","11D","6C/D",0
"800","11D","6E",0
"801","11D","6F",0
"802","11D","6G",0
"803","11D","7A",0
"804","11D","7B/C",0
"805","11D","7F",0
"806","11D","8",0
"807","11D","9A",0
"808","11D","9L",0
"809","11D","9N",0
"810","11D","9V",0
"811","11E","11F",0
"812","11E","12A",0
"813","11E","12B",0
"814","11E","12F",0
"815","11E","13",0
"816","11E","14",0
"817","11E","15A",0
"818","11E","15B/C",0
"819","11E","15F",0
"820","11E","16A",0
"821","11E","16F",0
"822","11E","17A",0
"823","11E","17F",0
"824","11E","18A",0
"825","11E","18B",0
"826","11E","18C",0
"827","11E","18F",0
"828","11E","19A",1
"829","11E","19B",0
"830","11E","19C",0
"831","11E","19F",0
"832","11E","19А",0
"833","11E","2",0
"834","11E","20A",0
"835","11E","20B",0
"836","11E","21",0
"837","11E","22A",0
"838","11E","22F",0
"839","11E","23A",0
"840","11E","23B",1
"841","11E","23F",0
"842","11E","24A",0
"843","11E","24B",0
"844","11E","24F",0
"845","11E","25A",0
"846","11E","25F",0
"847","11E","27",0
"848","11E","28A",0
"849","11E","28F",0
"850","11E","29",0
"851","11E","3",0
"852","11E","31",0
"853","11E","32A",0
"854","11E","32F",0
"855","11E","33A",0
"856","11E","33B",0
"857","11E","33C",0
"858","11E","33D",0
"859","11E","33F",0
"860","11E","34",0
"861","11E","35A",0
"862","11E","35B",0
"863","11E","35C",0
"864","11E","35F",0
"865","11E","36",0
"866","11E","37",0
"867","11E","38",0
"868","11E","39",0
"869","11E","4",0
"870","11E","40",0
"871","11E","41A",0
"872","11E","41F",0
"873","11E","42",0
"874","11E","43",0
"875","11E","44",0
"876","11E","45",0
"877","11E","46",0
"878","11E","47A",0
"879","11E","47F",0
"880","11E","48",0
"881","11E","5",0
"882","11E","6A",0
"883","11E","6B",0
"884","11E","6C/D",0
"885","11E","6E",0
"886","11E","6F",0
"887","11E","6G",0
"888","11E","7A",0
"889","11E","7B/C",0
"890","11E","7F",0
"891","11E","8",0
"892","11E","9A",0
"893","11E","9L",0
"894","11E","9N",0
"895","11E","9V",0
"896","11F","12A",0
"897","11F","12B",0
"898","11F","12F",0
"899","11F","13",0
"900","11F","14",0
"901","11F","15A",0
"902","11F","15B/C",0
"903","11F","15F",0
"904","11F","16A",0
"905","11F","16F",0
"906","11F","17A",0
"907","11F","17F",0
"908","11F","18A",0
"909","11F","18B",0
"910","11F","18C",0
"911","11F","18F",0
"912","11F","19A",0
"913","11F","19B",0
"914","11F","19C",0
"915","11F","19F",0
"916","11F","19А",0
"917","11F","2",0
"918","11F","20A",0
"919","11F","20B",0
"920","11F","21",0
"921","11F","22A",0
"922","11F","22F",0
"923","11F","23A",0
"924","11F","23B",0
"925","11F","23F",0
"926","11F","24A",0
"927","11F","24B",0
"928","11F","24F",0
"929","11F","25A",0
"930","11F","25F",0
"931","11F","27",0
"932","11F","28A",0
"933","11F","28F",0
"934","11F","29",0
"935","11F","3",0
"936","11F","31",0
"937","11F","32A",0
"938","11F","32F",0
"939","11F","33A",0
"940","11F","33B",0
"941","11F","33C",0
"942","11F","33D",0
"943","11F","33F",0
"944","11F","34",0
"945","11F","35A",0
"946","11F","35B",0
"947","11F","35C",0
"948","11F","35F",0
"949","11F","36",0
"950","11F","37",0
"951","11F","38",0
"952","11F","39",0
"953","11F","4",0
"954","11F","40",0
"955","11F","41A",0
"956","11F","41F",0
"957","11F","42",0
"958","11F","43",0
"959","11F","44",0
"960","11F","45",0
"961","11F","46",0
"962","11F","47A",0
"963","11F","47F",0
"964","11F","48",0
"965","11F","5",0
"966","11F","6A",0
"967","11F","6B",0
"968","11F","6C/D",0
"969","11F","6E",0
"970","11F","6F",0
"971","11F","6G",0
"972","11F","7A",0
"973","11F","7B/C",0
"974","11F","7F",0
"975","11F","8",0
"976","11F","9A",0
"977","11F","9L",0
"978","11F","9N",0
"979","11F","9V",0
"980","12A","12B",0
"981","12A","12F",0
"982","12A","13",0
"983","12A","14",1
"984","12A","15A",0
"985","12A","15B/C",0
"986","12A","15F",0
"987","12A","16A",0
"988","12A","16F",0
"989","12A","17A",0
"990","12A","17F",0
"991","12A","18A",0
"992","12A","18B",0
"993","12A","18C",0
"994","12A","18F",0
"995","12A","19A",0
"996","12A","19B",0
"997","12A","19C",0
"998","12A","19F",0
"999","12A","19А",0
"1000","12A","2",0
"1001","12A","20A",0
"1002","12A","20B",0
"1003","12A","21",0
"1004","12A","22A",0
"1005","12A","22F",0
"1006","12A","23A",0
"1007","12A","23B",0
"1008","12A","23F",0
"1009","12A","24A",0
"1010","12A","24B",0
"1011","12A","24F",0
"1012","12A","25A",0
"1013","12A","25F",0
"1014","12A","27",0
"1015","12A","28A",0
"1016","12A","28F",0
"1017","12A","29",0
"1018","12A","3",0
"1019","12A","31",0
"1020","12A","32A",0
"1021","12A","32F",0
"1022","12A","33A",0
"1023","12A","33B",0
"1024","12A","33C",0
"1025","12A","33D",0
"1026","12A","33F",0
"1027","12A","34",0
"1028","12A","35A",0
"1029","12A","35B",0
"1030","12A","35C",0
"1031","12A","35F",0
"1032","12A","36",0
"1033","12A","37",0
"1034","12A","38",0
"1035","12A","39",0
"1036","12A","4",0
"1037","12A","40",0
"1038","12A","41A",0
"1039","12A","41F",0
"1040","12A","42",0
"1041","12A","43",0
"1042","12A","44",0
"1043","12A","45",0
"1044","12A","46",0
"1045","12A","47A",0
"1046","12A","47F",0
"1047","12A","48",0
"1048","12A","5",0
"1049","12A","6A",0
"1050","12A","6B",0
"1051","12A","6C/D",0
"1052","12A","6E",0
"1053","12A","6F",0
"1054","12A","6G",0
"1055","12A","7A",0
"1056","12A","7B/C",0
"1057","12A","7F",0
"1058","12A","8",0
"1059","12A","9A",0
"1060","12A","9L",0
"1061","12A","9N",0
"1062","12A","9V",0
"1063","12B","12F",3
"1064","12B","13",0
"1065","12B","14",0
"1066","12B","15A",0
"1067","12B","15B/C",0
"1068","12B","15F",0
"1069","12B","16A",0
"1070","12B","16F",0
"1071","12B","17A",0
"1072","12B","17F",0
"1073","12B","18A",0
"1074","12B","18B",0
"1075","12B","18C",0
"1076","12B","18F",0
"1077","12B","19A",0
"1078","12B","19B",0
"1079","12B","19C",0
"1080","12B","19F",0
"1081","12B","19А",0
"1082","12B","2",0
"1083","12B","20A",0
"1084","12B","20B",0
"1085","12B","21",0
"1086","12B","22A",0
"1087","12B","22F",0
"1088","12B","23A",0
"1089","12B","23B",0
"1090","12B","23F",0
"1091","12B","24A",0
"1092","12B","24B",0
"1093","12B","24F",0
"1094","12B","25A",0
"1095","12B","25F",0
"1096","12B","27",0
"1097","12B","28A",0
"1098","12B","28F",0
"1099","12B","29",0
"1100","12B","3",0
"1101","12B","31",0
"1102","12B","32A",0
"1103","12B","32F",0
"1104","12B","33A",0
"1105","12B","33B",0
"1106","12B","33C",0
"1107","12B","33D",0
"1108","12B","33F",0
"1109","12B","34",0
"1110","12B","35A",0
"1111","12B","35B",0
"1112","12B","35C",0
"1113","12B","35F",1
"1114","12B","36",0
"1115","12B","37",0
"1116","12B","38",1
"1117","12B","39",0
"1118","12B","4",0
"1119","12B","40",0
"1120","12B","41A",0
"1121","12B","41F",0
"1122","12B","42",0
"1123","12B","43",0
"1124","12B","44",0
"1125","12B","45",0
"1126","12B","46",1
"1127","12B","47A",0
"1128","12B","47F",0
"1129","12B","48",0
"1130","12B","5",0
"1131","12B","6A",0
"1132","12B","6B",2
"1133","12B","6C/D",0
"1134","12B","6E",0
"1135","12B","6F",0
"1136","12B","6G",0
"1137","12B","7A",0
"1138","12B","7B/C",0
"1139","12B","7F",1
"1140","12B","8",0
"1141","12B","9A",0
"1142","12B","9L",0
"1143","12B","9N",0
"1144","12B","9V",0
"1145","12F","13",0
"1146","12F","14",1
"1147","12F","15A",0
"1148","12F","15B/C",0
"1149","12F","15F",0
"1150","12F","16A",0
"1151","12F","16F",1
"1152","12F","17A",0
"1153","12F","17F",0
"1154","12F","18A",0
"1155","12F","18B",0
"1156","12F","18C",0
"1157","12F","18F",0
"1158","12F","19A",2
"1159","12F","19B",0
"1160","12F","19C",0
"1161","12F","19F",2
"1162","12F","19А",0
"1163","12F","2",0
"1164","12F","20A",0
"1165","12F","20B",0
"1166","12F","21",0
"1167","12F","22A",0
"1168","12F","22F",0
"1169","12F","23A",0
"1170","12F","23B",0
"1171","12F","23F",1
"1172","12F","24A",0
"1173","12F","24B",0
"1174","12F","24F",0
"1175","12F","25A",0
"1176","12F","25F",0
"1177","12F","27",0
"1178","12F","28A",0
"1179","12F","28F",0
"1180","12F","29",0
"1181","12F","3",2
"1182","12F","31",0
"1183","12F","32A",0
"1184","12F","32F",0
"1185","12F","33A",0
"1186","12F","33B",0
"1187","12F","33C",0
"1188","12F","33D",0
"1189","12F","33F",0
"1190","12F","34",0
"1191","12F","35A",0
"1192","12F","35B",0
"1193","12F","35C",0
"1194","12F","35F",0
"1195","12F","36",0
"1196","12F","37",0
"1197","12F","38",1
"1198","12F","39",0
"1199","12F","4",2
"1200","12F","40",0
"1201","12F","41A",0
"1202","12F","41F",0
"1203","12F","42",0
"1204","12F","43",0
"1205","12F","44",0
"1206","12F","45",0
"1207","12F","46",1
"1208","12F","47A",0
"1209","12F","47F",0
"1210","12F","48",0
"1211","12F","5",0
"1212","12F","6A",0
"1213","12F","6B",1
"1214","12F","6C/D",0
"1215","12F","6E",0
"1216","12F","6F",0
"1217","12F","6G",0
"1218","12F","7A",0
"1219","12F","7B/C",0
"1220","12F","7F",3
"1221","12F","8",0
"1222","12F","9A",0
"1223","12F","9L",1
"1224","12F","9N",1
"1225","12F","9V",2
"1226","13","14",1
"1227","13","15A",0
"1228","13","15B/C",2
"1229","13","15F",0
"1230","13","16A",0
"1231","13","16F",0
"1232","13","17A",0
"1233","13","17F",1
"1234","13","18A",0
"1235","13","18B",0
"1236","13","18C",1
"1237","13","18F",0
"1238","13","19A",2
"1239","13","19B",0
"1240","13","19C",0
"1241","13","19F",1
"1242","13","19А",0
"1243","13","2",1
"1244","13","20A",0
"1245","13","20B",0
"1246","13","21",0
"1247","13","22A",0
"1248","13","22F",0
"1249","13","23A",2
"1250","13","23B",0
"1251","13","23F",3
"1252","13","24A",0
"1253","13","24B",0
"1254","13","24F",0
"1255","13","25A",0
"1256","13","25F",0
"1257","13","27",0
"1258","13","28A",0
"1259","13","28F",0
"1260","13","29",0
"1261","13","3",0
"1262","13","31",1
"1263","13","32A",0
"1264","13","32F",0
"1265","13","33A",0
"1266","13","33B",0
"1267","13","33C",0
"1268","13","33D",0
"1269","13","33F",0
"1270","13","34",0
"1271","13","35A",0
"1272","13","35B",1
"1273","13","35C",0
"1274","13","35F",0
"1275","13","36",0
"1276","13","37",0
"1277","13","38",1
