"","sero_pair","Serotype1","Serotype2","ST_Obs","ST_Exp","CC_Obs","CC_Exp","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mc.index","ST_support","ST_confidence","ST_lift","ST_count","ST_chisq","ST_fisher","CC_support","CC_confidence","CC_lift","CC_count","CC_chisq","CC_fisher","mb_st_index_con","mb_st_index_lift","mb_cc_index_con","mb_cc_index_lift"
"1","1 - 19A","1","19A",5,2,12,4,0,0,1,0,0,0.0068870523415978,0.147058823529412,0.599801718440185,5,0.173126080215301,0.948384550638335,0.0187207488299532,0.428571428571429,2.66712898751734,12,7.91145062962946e-05,0.00051419236929732,0,0.5,0,0
"2","1 - 19F","1","19F",12,2,15,4,0,0,1,0,0,0.0165289256198347,0.352941176470588,1.77941176470588,12,0.0205865618111825,0.0229359682897083,0.0234009360374415,0.535714285714286,3.61466165413534,15,3.60319433687612e-09,9.47929141883391e-07,0,0,0,0
"3","1 - 6A","1","6A",5,1,13,5,0,0,1,0,0,0.0068870523415978,0.147058823529412,0.654998195597257,5,0.267557809261337,0.912181654587417,0.0202808112324493,0.464285714285714,2.75562169312169,13,1.90118886717675e-05,0.000180012090881438,0,0.5,0,0
"4","1 - 6B","1","6B",8,2,10,5,0,0,1,0,0,0.0110192837465565,0.235294117647059,0.976134453781513,8,0.935976040580947,0.600481567557721,0.015600624024961,0.357142857142857,2.1002621231979,10,0.00704245318272023,0.0117171995931585,0,0.5,0,0
"5","10A - 19A","10A","19A",4,1,9,5,0,0,1,0,0,0.00550964187327824,0.173913043478261,0.70933072789448,4,0.419452485959928,0.855552225477923,0.0140405616224649,0.290322580645161,1.80676479799562,9,0.0439317284945132,0.0458423837084245,0,0.5,0,0
"6","10A - 19F","10A","19F",3,1,7,5,0,0,1,0,0,0.00413223140495868,0.130434782608696,0.657608695652174,3,0.406518303339147,0.866841589831808,0.0109204368174727,0.225806451612903,1.52359932088285,7,0.212562758659358,0.160368397298594,0,0.5,0,0
"7","10A - 23F","10A","23F",3,0,7,3,0,0,1,0,0,0.00413223140495868,0.130434782608696,0.845496894409938,3,0.747755426877255,0.71571693449018,0.0109204368174727,0.225806451612903,2.12855787476281,7,0.0264906795295429,0.0364816767900918,0,0.5,0,0
"8","10A - 6A","10A","6A",4,1,9,6,0,0,1,0,0,0.00550964187327824,0.173913043478261,0.7746065617498,4,0.554476691210382,0.797058125356725,0.0140405616224649,0.290322580645161,1.72311827956989,9,0.0631952340715141,0.059968999317634,0,0.5,0,0
"9","10A - 6B","10A","6B",3,1,9,6,0,0,1,0,0,0.00413223140495868,0.130434782608696,0.54111801242236,3,0.20753513995725,0.943371628318072,0.0140405616224649,0.290322580645161,1.70730985498668,9,0.0676532640494237,0.0631115867450204,0,0.5,0,0
"10","11A - 19A","11A","19A",9,2,15,6,0,0,1,0,0,0.012396694214876,0.28125,1.14712078651685,9,0.627584772620724,0.380273429770354,0.0234009360374415,0.46875,2.91717233009709,15,1.12519909303022e-06,2.50036526407207e-05,0,0,0,0
"11","11A - 19F","11A","19F",6,2,14,5,0,0,1,0,0,0.00826446280991736,0.1875,0.9453125,6,0.874939135397547,0.635388826350434,0.0218408736349454,0.4375,2.95197368421053,14,2.29709318113286e-06,4.77100032673643e-05,0,0.5,0,0
"12","11A - 23F","11A","23F",2,1,11,3,0,0,1,0,0,0.00275482093663912,0.0625,0.405133928571429,2,0.141570687904514,0.970509862101222,0.0171606864274571,0.34375,3.24034926470588,11,7.49675636326278e-06,0.000183453499192069,0,0.5,0,0
