"","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"153","13 - 6A","13","6A",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"154","13 - 6B","13","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"155","13 - 6C/D","13","6C/D",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"156","13 - 9A","13","9A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"157","13 - 9V","13","9V",0,0,1,1,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,3.75
"158","14 - 15A","14","15A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"159","14 - 15B/C","14","15B/C",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"160","14 - 18C","14","18C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"161","14 - 18F","14","18F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"162","14 - 19A","14","19A",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"163","14 - 19B","14","19B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"164","14 - 19C","14","19C",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"165","14 - 19F","14","19F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"166","14 - 21","14","21",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"167","14 - 22F","14","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"168","14 - 23A","14","23A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"169","14 - 23B","14","23B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"170","14 - 23F","14","23F",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"171","14 - 24F","14","24F",1,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,3.25
"172","14 - 3","14","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"173","14 - 31","14","31",0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,1
"174","14 - 35B","14","35B",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"175","14 - 35F","14","35F",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"176","14 - 38","14","38",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"177","14 - 4","14","4",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"178","14 - 42","14","42",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"179","14 - 6A","14","6A",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"180","14 - 6B","14","6B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"181","14 - 6C/D","14","6C/D",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"182","14 - 6E","14","6E",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"183","14 - 7A","14","7A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"184","14 - 7B/C","14","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"185","14 - 7F","14","7F",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"186","14 - 8","14","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"187","14 - 9A","14","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"188","14 - 9L","14","9L",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"189","14 - 9N","14","9N",1,0,0,0,0,0,0.25,0,0,0,0.25,0,1.5
"190","14 - 9V","14","9V",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"191","15A - 15B/C","15A","15B/C",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"192","15A - 15F","15A","15F",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"193","15A - 17F","15A","17F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"194","15A - 18C","15A","18C",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"195","15A - 19A","15A","19A",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"196","15A - 19B","15A","19B",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"197","15A - 19F","15A","19F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"198","15A - 21","15A","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
