"","Component","AIC","Regression.Coefficient","95%LCI","95%UCI"
"4","Gal",170.015397649384,0.945764723120608,0.337120524330021,1.55440892191119
"7","GlcA",170.079279637078,-1.0885874886408,-1.79183676499073,-0.385338212290861
"10","Gro",175.786879632875,0.654084101956697,-0.0645397807678969,1.37270798468129
"9","GlcNAc",176.989204220211,0.50174235029125,-0.195555050847381,1.19903975142988
"2","Cho",177.455216175176,0.720011184135175,-0.419728016709087,1.85975038497944
"1","Ac",178.211043773076,-0.273194672734045,-0.871255024182938,0.324865678714848
"13","Rib",178.75991980202,-0.35188197169976,-1.66363180914538,0.959867865745857
"3","FucNAc",178.882482425424,-0.210601529866993,-1.24299730302015,0.821794243286161
"15","NAc",178.931749151179,0.0998248438812238,-0.482040079233197,0.681689766995644
"11","ManNAc",178.937817981153,0.140857223677575,-0.701931370052048,0.983645817407198
"14","Rib-ol",178.975203547109,-0.0883634511017414,-0.73456945488806,0.557842552684577
"6","Glc",178.991557013725,0.0862161178023388,-0.625835481593615,0.798267717198293
"8","GlcN",179.037157829004,-0.0661760206182648,-1.19976364308577,1.06741160184924
"5","GalNAc",179.037917995002,-0.0396305961206183,-0.737981846783568,0.658720654542331
"12","Rha",179.050598836809,-0.0059390860057891,-0.622245379260541,0.610367207248963
